region,activity_count_Internal medicine / pneumology,unique_hcp_count_Internal medicine / pneumology,activity_count_Internal medicine,nr_interactions_Internal medicine,nr_interactions_Internal medicine / pneumology,nr_interactions_General practicioner,activity_count_General practicioner,unique_hcp_count_General practicioner,unique_hcp_count_Internal medicine,market_potential_Internal medicine
region_190,73.0,12.0,18.0,20.0,101.0,48.0,46.0,30.0,13.0,5908999.84
region_191,89.0,20.0,19.0,19.0,96.0,20.0,20.0,13.0,13.0,7209016.449999999
region_192,42.0,6.0,21.0,21.0,55.0,64.0,63.0,34.0,14.0,4511281.03
region_193,10.0,4.0,5.0,5.0,12.0,27.0,24.0,19.0,5.0,6276448.279999999
region_194,29.0,8.0,31.0,31.0,31.0,47.0,47.0,38.0,23.0,8719749.37
region_195,2.0,1.0,2.0,2.0,2.0,12.0,12.0,12.0,2.0,3008392.04
region_196,24.0,5.0,59.0,61.0,30.0,153.0,129.0,56.0,34.0,5666663.62
region_197,9.0,4.0,3.0,3.0,12.0,12.0,11.0,8.0,2.0,4152148.7800000003
region_198,25.0,6.0,29.0,29.0,29.0,112.0,111.0,49.0,13.0,5601796.700000001
region_199,36.0,5.0,16.0,16.0,41.0,28.0,27.0,18.0,10.0,6112388.640000001
region_2,6.0,2.0,16.0,17.0,6.0,67.0,62.0,46.0,12.0,4650556.48
region_20,26.0,9.0,57.0,62.0,29.0,85.0,77.0,47.0,34.0,5833519.8900000015
region_200,16.0,3.0,50.0,55.0,18.0,238.0,201.0,105.0,30.0,6644712.0600000005
region_21,28.0,13.0,14.0,15.0,31.0,46.0,43.0,30.0,11.0,6318457.04
region_22,8.0,4.0,17.0,17.0,8.0,53.0,52.0,33.0,13.0,6323676.77
region_23,44.0,10.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,9355067.34
region_24,62.0,17.0,41.0,43.0,76.0,113.0,106.0,63.0,25.0,8862397.68
region_25,18.0,5.0,14.0,16.0,22.0,75.0,69.0,38.0,9.0,5708884.129999999
region_26,15.0,3.0,34.0,36.0,15.0,49.0,48.0,22.0,16.0,4333941.42
region_27,36.0,8.0,39.0,40.0,38.0,103.0,100.0,58.0,27.0,5625862.290000001
region_28,7.0,2.0,2.0,2.0,8.0,2.0,2.0,1.0,1.0,4407140.51
region_29,13.0,4.0,37.0,37.0,14.0,96.0,96.0,44.0,16.0,4347981.759999999
region_3,80.0,10.0,26.0,27.0,125.0,72.0,67.0,29.0,13.0,4712618.0200000005
region_30,37.0,9.0,20.0,20.0,45.0,47.0,46.0,31.0,18.0,5868285.140000001
region_31,23.0,5.0,28.0,29.0,28.0,23.0,23.0,16.0,18.0,4253049.08
region_32,21.0,5.0,21.0,23.0,22.0,50.0,48.0,22.0,12.0,5877672.4399999995
region_33,73.0,11.0,103.0,116.0,119.0,235.0,210.0,69.0,31.0,8025103.489999999
region_34,38.0,14.0,1.0,1.0,46.0,12.0,9.0,4.0,1.0,8488459.910000002
region_35,44.0,10.0,36.0,36.0,54.0,53.0,53.0,32.0,22.0,7910858.440000001
region_36,13.0,9.0,23.0,23.0,14.0,46.0,46.0,31.0,16.0,4646155.89
region_37,15.0,4.0,3.0,3.0,20.0,4.0,4.0,4.0,3.0,4667966.88
region_38,19.0,6.0,36.0,44.0,22.0,131.0,116.0,41.0,15.0,5899152.619999999
region_39,42.0,8.0,39.0,42.0,54.0,71.0,68.0,43.0,18.0,7877570.859999999
region_4,10.0,5.0,8.0,8.0,11.0,32.0,31.0,28.0,6.0,5670948.899999998
region_40,22.0,9.0,26.0,26.0,24.0,59.0,59.0,52.0,21.0,6389428.17
region_41,70.0,9.0,11.0,11.0,89.0,11.0,11.0,8.0,11.0,7450662.720000001
region_42,6.0,3.0,11.0,12.0,6.0,54.0,48.0,31.0,9.0,6085339.83
region_43,39.0,13.0,2.0,2.0,45.0,2.0,2.0,2.0,2.0,8190578.140000001
region_44,28.0,6.0,11.0,11.0,33.0,17.0,17.0,15.0,9.0,9283129.839999998
region_45,67.0,15.0,40.0,40.0,91.0,75.0,75.0,53.0,24.0,8592145.790000001
region_46,20.0,4.0,21.0,28.0,21.0,21.0,21.0,13.0,7.0,3151248.4599999995
region_47,102.0,20.0,48.0,50.0,137.0,63.0,56.0,37.0,30.0,4618636.239999999
region_48,37.0,10.0,27.0,29.0,46.0,69.0,69.0,53.0,15.0,7393454.29
region_49,17.0,5.0,39.0,40.0,27.0,82.0,80.0,63.0,27.0,8453679.95
region_5,7.0,4.0,5.0,5.0,9.0,32.0,31.0,29.0,4.0,3877041.4599999995
region_50,28.0,6.0,10.0,11.0,38.0,8.0,7.0,3.0,3.0,5600293.180000001
region_51,19.0,5.0,36.0,37.0,22.0,69.0,69.0,56.0,29.0,4656319.22
region_52,27.0,9.0,21.0,24.0,42.0,79.0,70.0,49.0,14.0,7946849.4
region_53,10.0,4.0,13.0,13.0,12.0,31.0,28.0,25.0,12.0,4740203.250000001
region_54,46.0,7.0,46.0,47.0,57.0,75.0,75.0,67.0,37.0,5910992.63
region_55,44.0,9.0,19.0,25.0,59.0,19.0,18.0,13.0,13.0,6149109.049999999
region_56,3.0,1.0,15.0,16.0,3.0,23.0,23.0,21.0,12.0,4904577.15
region_57,32.0,4.0,38.0,39.0,51.0,71.0,59.0,37.0,19.0,5758736.320000001
region_58,23.0,2.0,40.0,41.0,33.0,97.0,92.0,37.0,15.0,3418378.27
region_59,28.0,7.0,15.0,16.0,33.0,59.0,55.0,38.0,11.0,6568791.550000001
region_6,19.0,3.0,19.0,20.0,26.0,69.0,64.0,41.0,13.0,2676744.87
region_60,19.0,5.0,25.0,29.0,24.0,46.0,41.0,19.0,13.0,5107997.340000001
region_61,59.0,14.0,40.0,43.0,72.0,63.0,53.0,30.0,22.0,7504765.4
region_62,20.0,6.0,2.0,2.0,21.0,0.0,0.0,0.0,1.0,7097781.720000002
region_63,78.0,20.0,10.0,10.0,125.0,24.0,23.0,14.0,7.0,9453378.100000001
region_64,40.0,6.0,36.0,40.0,43.0,66.0,66.0,32.0,20.0,4801111.670000001
region_65,3.0,2.0,14.0,16.0,3.0,60.0,58.0,29.0,9.0,4590537.9
region_66,40.0,9.0,32.0,33.0,48.0,83.0,81.0,34.0,13.0,5979243.170000001
region_67,83.0,14.0,17.0,17.0,111.0,25.0,17.0,5.0,7.0,5130837.29
region_68,17.0,4.0,61.0,62.0,21.0,109.0,109.0,64.0,38.0,6657561.859999999
region_69,154.0,17.0,56.0,57.0,175.0,182.0,175.0,87.0,25.0,7513502.37
region_7,80.0,22.0,54.0,56.0,92.0,127.0,118.0,73.0,38.0,9259618.28
region_70,39.0,7.0,24.0,24.0,41.0,70.0,69.0,44.0,17.0,6472060.140000001
region_71,9.0,6.0,45.0,47.0,11.0,81.0,81.0,62.0,31.0,9656255.249999998
region_72,40.0,8.0,34.0,36.0,53.0,97.0,92.0,57.0,22.0,4383231.78
region_73,33.0,6.0,3.0,3.0,41.0,8.0,8.0,6.0,3.0,5886665.79
region_74,28.0,4.0,44.0,44.0,34.0,121.0,121.0,64.0,21.0,5197853.87
region_75,45.0,9.0,48.0,48.0,55.0,63.0,63.0,41.0,26.0,6778634.82
region_76,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,5108832.989999999
region_77,11.0,6.0,2.0,2.0,13.0,7.0,7.0,7.0,2.0,4857821.680000001
region_78,133.0,26.0,50.0,54.0,173.0,85.0,82.0,41.0,26.0,10777621.05
region_79,140.0,13.0,64.0,76.0,195.0,43.0,42.0,27.0,23.0,4904710.390000001
region_8,22.0,8.0,13.0,15.0,29.0,10.0,10.0,9.0,9.0,4716729.420000001
region_80,31.0,7.0,65.0,72.0,37.0,76.0,73.0,43.0,35.0,6927095.559999999
region_81,4.0,1.0,13.0,15.0,4.0,61.0,57.0,39.0,12.0,3591792.9700000007
region_82,6.0,3.0,22.0,24.0,7.0,45.0,41.0,29.0,14.0,3794623.9099999997
region_83,57.0,8.0,78.0,85.0,74.0,242.0,236.0,72.0,27.0,6160619.15
region_84,40.0,4.0,60.0,73.0,55.0,43.0,42.0,33.0,26.0,4962288.890000001
region_85,25.0,6.0,33.0,37.0,26.0,145.0,145.0,66.0,11.0,4827628.3100000005
region_86,21.0,5.0,90.0,105.0,32.0,252.0,214.0,90.0,39.0,9043386.75
region_87,19.0,6.0,10.0,10.0,21.0,33.0,30.0,21.0,10.0,6183767.090000001
region_88,20.0,8.0,27.0,27.0,21.0,63.0,63.0,43.0,22.0,7221381.3100000005
region_89,39.0,7.0,77.0,84.0,49.0,122.0,115.0,61.0,37.0,5845679.390000001
region_9,42.0,9.0,42.0,45.0,56.0,62.0,58.0,40.0,22.0,4112566.89
region_90,60.0,17.0,61.0,65.0,61.0,121.0,117.0,75.0,39.0,8075709.99
region_91,29.0,4.0,97.0,105.0,36.0,242.0,229.0,101.0,49.0,5637241.31
region_92,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,7001022.2
region_93,13.0,6.0,8.0,8.0,17.0,6.0,5.0,5.0,6.0,3881688.0899999994
region_94,44.0,11.0,28.0,28.0,50.0,6.0,6.0,6.0,14.0,9655376.559999999
region_95,78.0,13.0,67.0,71.0,93.0,71.0,69.0,51.0,38.0,5409466.070000001
region_96,63.0,13.0,84.0,87.0,88.0,244.0,235.0,81.0,30.0,5974509.31
region_97,35.0,9.0,42.0,44.0,39.0,55.0,53.0,36.0,25.0,4901265.54
region_98,33.0,7.0,20.0,25.0,40.0,109.0,98.0,55.0,14.0,5386680.459999999
region_99,4.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5618976.220000002
