region,population,area,pci16,pci18,Internal medicine,Internal medicine / pneumology,General practicioner,Internal medicine and general practicioner,Pediatrician,unique_hcp_count_Internal medicine / pneumology,activity_count_Internal medicine / pneumology,nr_interactions_Internal medicine / pneumology,unique_hcp_count_Internal medicine,activity_count_Internal medicine,nr_interactions_Internal medicine,market_potential_Internal medicine,content_count_Internal medicine / pneumology,mails_sent_Internal medicine / pneumology,unique_content_count_Internal medicine / pneumology,hcp_count_Internal medicine / pneumology,mails_per_hcp_Internal medicine / pneumology,unique_content_count_Internal medicine,content_count_Internal medicine,mails_sent_Internal medicine,content_count_General practicioner,mails_sent_General practicioner
region_21,297082,360.80529598,44784.45632909552,45981.72217118941,382,17,204,7,118,13.0,40.0,53.0,16.0,24.0,25.0,6318457.04,8.0,8.0,6.0,14.0,0.5714285714285714,2.0,7.0,7.0,8.0,8.0
region_22,341233,487.59933681,37386.11459218471,38418.87174140778,165,8,173,3,31,4.0,12.0,13.0,13.0,16.0,17.0,6323676.77,6.0,6.0,5.0,5.0,1.2,18.0,224.0,224.0,576.0,576.0
region_23,392442,1013.9402787699998,43137.67692133163,45189.593294747385,224,22,230,0,83,10.0,49.0,66.0,19.0,20.0,21.0,9355067.34,38.0,38.0,21.0,17.0,2.235294117647059,5.0,29.0,29.0,67.0,67.0
region_24,541116,5200.616483475,42154.98186708018,43863.59104463951,332,22,277,4,88,16.0,54.0,69.0,19.0,28.0,30.0,8862397.68,51.0,51.0,18.0,20.0,2.55,14.0,27.0,27.0,42.0,42.0
region_25,344825,4037.238894875,41651.15403583042,43493.05408766624,177,7,181,3,37,5.0,14.0,16.0,7.0,9.0,11.0,5708884.129999999,22.0,22.0,14.0,4.0,5.5,4.0,4.0,4.0,11.0,11.0
region_26,338885,1762.4693887249998,45571.692847022576,46663.394874316575,114,3,155,2,26,3.0,16.0,17.0,18.0,35.0,37.0,4333941.42,30.0,30.0,19.0,3.0,10.0,19.0,96.0,96.0,85.0,85.0
region_27,347761,1339.813459055,47802.37814017809,49087.416077910646,190,20,162,0,37,8.0,41.0,46.0,25.0,37.0,38.0,5625862.290000001,63.0,63.0,11.0,13.0,4.846153846153846,4.0,7.0,7.0,35.0,35.0
region_28,295511,5645.12303853,42196.62599068593,43880.94307631483,83,5,179,2,27,2.0,8.0,10.0,6.0,8.0,8.0,4407140.51,16.0,16.0,13.0,4.0,4.0,5.0,21.0,21.0,47.0,47.0
region_29,292821,3998.229471045,40826.40342396384,42864.63498607209,130,8,152,2,24,4.0,11.0,13.0,16.0,37.0,37.0,4347981.759999999,3.0,3.0,3.0,4.0,0.75,4.0,43.0,43.0,66.0,66.0
region_30,445328,10659.052143505,37304.95165223997,39504.6071492316,302,11,223,2,56,9.0,29.0,41.0,15.0,15.0,15.0,5868285.140000001,62.0,62.0,11.0,11.0,5.636363636363637,1.0,1.0,1.0,4.0,4.0
region_31,311176,1451.9225471349998,46882.56119251481,49424.95126548196,165,6,215,0,41,5.0,36.0,42.0,10.0,19.0,20.0,4253049.08,21.0,21.0,13.0,5.0,4.2,15.0,54.0,54.0,44.0,44.0
region_32,368045,4153.030040835,41979.762597629495,43762.43536868884,153,6,179,3,47,6.0,29.0,30.0,11.0,16.0,16.0,5877672.44,34.0,34.0,17.0,6.0,5.666666666666667,14.0,81.0,81.0,163.0,163.0
region_33,419101,7692.893495175,36767.22147044455,38579.41511491576,250,11,225,0,32,10.0,111.0,200.0,39.0,123.0,153.0,8025103.489999999,51.0,51.0,12.0,10.0,5.1,11.0,163.0,163.0,118.0,118.0
region_34,365599,280.24859694500003,37134.16,37863.28,347,23,168,10,49,13.0,36.0,47.0,7.0,7.0,7.0,8488459.910000002,19.0,19.0,3.0,20.0,0.95,1.0,8.0,8.0,16.0,16.0
region_35,412758,262.50533,33646.83741609315,34253.270249104906,259,22,169,1,94,10.0,43.0,55.0,21.0,30.0,30.0,7910858.440000001,151.0,151.0,19.0,14.0,10.785714285714286,11.0,214.0,214.0,348.0,348.0
region_36,298560,3726.884651725,43442.39132891304,45766.530521730456,175,11,189,1,31,9.0,18.0,20.0,12.0,16.0,16.0,4646155.89,14.0,14.0,5.0,8.0,1.75,9.0,36.0,36.0,91.0,91.0
region_37,295037,1090.40687887,46262.35922042,47460.746174243046,113,5,160,2,29,4.0,15.0,18.0,3.0,3.0,3.0,4667966.88,29.0,29.0,17.0,4.0,7.25,5.0,15.0,15.0,55.0,55.0
region_38,295780,3744.74960892,38182.69732236048,40109.38377772224,123,13,166,3,32,6.0,27.0,31.0,16.0,36.0,45.0,5899152.619999999,42.0,42.0,26.0,4.0,10.5,9.0,14.0,14.0,89.0,89.0
region_39,449898,4019.658772,36647.69507398299,38070.54561557521,317,17,279,0,103,8.0,43.0,59.0,32.0,74.0,78.0,7877570.859999999,50.0,50.0,15.0,10.0,5.0,9.0,29.0,29.0,63.0,63.0
region_40,387506,3023.372880265,45851.67803935721,47918.66791641751,365,10,298,0,123,8.0,40.0,46.0,32.0,52.0,53.0,6389428.17,2.0,2.0,2.0,6.0,0.3333333333333333,4.0,4.0,4.0,1.0,1.0
region_41,376861,181.278347825,39007.52861156623,39888.70805993954,252,18,143,1,43,9.0,83.0,99.0,11.0,17.0,19.0,7450662.720000001,17.0,17.0,6.0,10.0,1.7,6.0,116.0,116.0,112.0,112.0
region_42,440131,3287.587080525,43000.8336181825,44831.05120063922,190,3,268,4,42,3.0,11.0,14.0,5.0,10.0,10.0,6085339.83,3.0,3.0,2.0,3.0,1.0,1.0,8.0,8.0,24.0,24.0
region_43,509797,475.28226476,38646.49331816121,41100.84413713749,351,20,244,1,64,14.0,44.0,53.0,6.0,7.0,7.0,8190578.140000001,87.0,87.0,21.0,11.0,7.909090909090909,11.0,91.0,91.0,121.0,121.0
region_44,425191,5807.495301645,44180.16732596442,45346.0694925717,257,22,272,3,66,6.0,25.0,29.0,17.0,19.0,19.0,9283129.839999998,44.0,44.0,18.0,11.0,4.0,13.0,21.0,21.0,42.0,42.0
region_45,461421,8601.349281820001,38480.416663499054,40959.73747486567,296,19,245,0,71,15.0,76.0,103.0,33.0,46.0,47.0,8592145.790000001,148.0,148.0,31.0,14.0,10.571428571428571,20.0,54.0,54.0,70.0,70.0
region_46,330868,216.65785405,44450.70293282685,48142.47639736822,270,8,150,0,36,5.0,24.0,25.0,7.0,19.0,26.0,3151248.4599999995,4.0,4.0,2.0,5.0,0.8,5.0,43.0,43.0,40.0,40.0
region_47,347254,1477.39580163,41346.68566712529,43696.651111569045,476,23,327,2,113,19.0,89.0,116.0,19.0,32.0,35.0,4618636.239999999,17.0,17.0,2.0,15.0,1.1333333333333333,4.0,45.0,45.0,57.0,57.0
region_48,416240,1932.93465586,44722.7992076565,46614.602815765335,292,12,308,6,90,10.0,58.0,81.0,23.0,41.0,43.0,7393454.29,9.0,9.0,7.0,11.0,0.8181818181818182,7.0,20.0,20.0,37.0,37.0
region_49,496826,6434.083117925,44149.02978881942,46695.11700369592,316,11,300,1,65,5.0,18.0,28.0,31.0,47.0,49.0,8453679.95,14.0,14.0,11.0,8.0,1.75,0.0,0.0,0.0,1.0,1.0
region_50,356216,1561.571631685,41130.99782144328,42849.66447641903,136,7,198,2,36,6.0,30.0,42.0,11.0,18.0,19.0,5600293.180000001,16.0,16.0,13.0,4.0,4.0,3.0,27.0,27.0,34.0,34.0
region_51,325691,4155.27444025,37425.22727866324,39046.73439375503,262,7,182,0,46,5.0,19.0,24.0,37.0,60.0,64.0,4656319.22,41.0,41.0,17.0,6.0,6.833333333333333,12.0,161.0,161.0,213.0,213.0
region_52,380244,1893.864008995,42224.88323186671,44597.342131836034,447,31,307,1,106,12.0,42.0,58.0,14.0,20.0,24.0,7946849.4,35.0,35.0,16.0,20.0,1.75,7.0,46.0,46.0,112.0,112.0
region_53,346466,1716.0610216599998,47436.18452205252,48289.027765684055,171,6,195,4,41,4.0,9.0,9.0,8.0,8.0,8.0,4740203.250000001,4.0,4.0,2.0,4.0,1.0,4.0,39.0,39.0,64.0,64.0
region_54,516859,7269.26011098,36031.93428078067,38376.51658116495,347,12,255,1,85,8.0,40.0,54.0,40.0,48.0,49.0,5910992.63,47.0,47.0,13.0,10.0,4.7,8.0,116.0,116.0,176.0,176.0
region_55,300921,2966.39624713,40594.80342422845,42488.72987225042,322,12,235,1,72,9.0,41.0,55.0,13.0,21.0,24.0,6149109.049999999,45.0,45.0,15.0,9.0,5.0,20.0,88.0,88.0,51.0,51.0
region_56,314292,1299.8107456250002,39922.83005317213,41651.31966320547,143,2,170,2,29,1.0,2.0,2.0,10.0,14.0,14.0,4904577.15,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0
region_57,376219,5876.13657913,36993.40237936698,39335.135584445765,235,6,230,0,72,5.0,30.0,47.0,18.0,32.0,37.0,5758736.320000001,42.0,42.0,12.0,5.0,8.4,2.0,24.0,24.0,80.0,80.0
region_58,295192,1994.75115814,45774.88396917456,48219.296065151655,146,2,154,1,22,2.0,22.0,32.0,15.0,32.0,33.0,3418378.27,0.0,0.0,0.0,0.0,0.0,13.0,47.0,47.0,101.0,101.0
region_59,366237,456.77740419,47846.72921976725,49044.24224184746,265,10,259,1,40,7.0,28.0,32.0,11.0,13.0,14.0,6568791.550000001,52.0,52.0,14.0,7.0,7.428571428571429,9.0,23.0,23.0,129.0,129.0
region_60,336953,277.67347298500005,47883.30564409603,49078.800882085445,182,6,180,1,96,5.0,22.0,26.0,21.0,32.0,32.0,5107997.340000001,21.0,21.0,13.0,3.0,7.0,3.0,24.0,24.0,33.0,33.0
region_61,481340,433.493165915,47807.095737135656,48998.648530738246,576,26,302,3,223,14.0,60.0,72.0,29.0,45.0,46.0,7504765.4,60.0,60.0,23.0,17.0,3.5294117647058822,13.0,54.0,54.0,54.0,54.0
region_62,470772,1997.63901393,45921.003861056335,47021.37710281745,306,23,240,0,59,5.0,24.0,26.0,22.0,27.0,28.0,7097781.720000002,27.0,27.0,5.0,11.0,2.4545454545454546,3.0,75.0,75.0,123.0,123.0
region_63,320450,119.34311882000002,47853.29181840482,49044.01277342743,285,30,198,6,33,21.0,77.0,117.0,10.0,13.0,13.0,9453378.1,175.0,175.0,22.0,25.0,7.0,3.0,6.0,6.0,33.0,33.0
region_64,300469,2849.552513615,41149.039535878575,42838.21028554375,146,6,186,0,22,6.0,46.0,48.0,23.0,38.0,42.0,4801111.670000001,50.0,50.0,16.0,6.0,8.333333333333334,29.0,152.0,152.0,207.0,207.0
region_65,316970,812.02523969,39271.08036623109,40522.879483978526,186,5,126,4,33,3.0,7.0,7.0,6.0,7.0,9.0,4590537.9,14.0,14.0,7.0,3.0,4.666666666666667,8.0,74.0,74.0,158.0,158.0
region_66,327674,499.70631512500006,43544.32603542337,46907.49509458998,202,9,212,1,48,9.0,50.0,62.0,13.0,31.0,32.0,5979243.170000001,12.0,12.0,4.0,8.0,1.5,6.0,34.0,34.0,62.0,62.0
region_67,294808,653.61051631,41189.10186526831,42903.32734412834,366,24,178,4,114,14.0,86.0,117.0,10.0,20.0,20.0,5130837.29,112.0,112.0,25.0,13.0,8.615384615384615,12.0,46.0,46.0,58.0,58.0
region_68,397520,602.376419425,39424.04499582988,40424.84519009168,294,7,207,4,54,4.0,16.0,20.0,31.0,46.0,47.0,6657561.859999999,4.0,4.0,1.0,5.0,0.8,0.0,0.0,0.0,0.0,0.0
region_69,393228,897.21918997,47250.45828230358,49137.60230692609,541,34,287,0,126,17.0,167.0,187.0,25.0,56.0,60.0,7513502.37,214.0,214.0,27.0,19.0,11.263157894736842,14.0,79.0,79.0,429.0,429.0
region_70,379268,1300.084429985,51331.47202909552,54701.5147903046,217,13,195,1,58,8.0,47.0,51.0,16.0,22.0,22.0,6472060.140000001,95.0,95.0,26.0,12.0,7.916666666666667,9.0,42.0,42.0,99.0,99.0
region_71,290274,230.311262695,38727.460773319886,39733.89795811521,282,14,135,6,42,6.0,7.0,9.0,28.0,38.0,40.0,9656255.249999998,2.0,2.0,1.0,13.0,0.1538461538461538,4.0,13.0,13.0,30.0,30.0
region_72,335568,2855.78699663,46290.70308762525,48920.28136064841,173,8,206,1,38,8.0,55.0,66.0,17.0,31.0,34.0,4383231.78,29.0,29.0,15.0,6.0,4.833333333333333,15.0,48.0,48.0,91.0,91.0
region_73,370427,4000.316021975,37145.88024469353,39115.3131767344,310,16,245,0,110,7.0,36.0,44.0,24.0,37.0,37.0,5886665.79,44.0,44.0,17.0,7.0,6.285714285714286,6.0,97.0,97.0,99.0,99.0
region_74,308168,3160.04204693,41187.7235264384,42671.80736288608,193,8,182,8,55,4.0,31.0,40.0,18.0,36.0,38.0,5197853.87,17.0,17.0,9.0,5.0,3.4,13.0,38.0,38.0,93.0,93.0
region_75,485523,1064.39973606,45420.92701120138,46427.26521994213,306,12,251,3,86,10.0,51.0,54.0,29.0,41.0,42.0,6778634.82,144.0,144.0,25.0,8.0,18.0,25.0,124.0,124.0,160.0,160.0
region_76,346962,3955.87103625,46117.32468167189,47687.7855694166,269,12,277,1,51,3.0,5.0,5.0,6.0,6.0,6.0,5108832.989999999,8.0,8.0,4.0,7.0,1.1428571428571428,4.0,9.0,9.0,4.0,4.0
region_77,297909,1795.04534539,38958.80276287088,40349.164507190086,177,9,141,2,38,7.0,12.0,14.0,19.0,24.0,25.0,4857821.680000001,9.0,9.0,7.0,6.0,1.5,1.0,19.0,19.0,40.0,40.0
region_78,520595,298.050938975,42351.68,43907.92,574,38,370,6,167,26.0,138.0,174.0,23.0,49.0,52.0,10777621.05,60.0,60.0,10.0,25.0,2.4,12.0,78.0,78.0,148.0,148.0
region_79,309066,1766.12951329,47704.58758235771,51167.22010202415,232,14,197,0,46,14.0,134.0,203.0,25.0,62.0,72.0,4904710.390000001,40.0,40.0,9.0,13.0,3.076923076923077,7.0,34.0,34.0,54.0,54.0
region_80,332380,507.6016706,42316.17861056367,43408.66203256296,164,11,169,4,59,5.0,25.0,30.0,43.0,90.0,98.0,6927095.559999999,38.0,38.0,14.0,5.0,7.6,11.0,96.0,96.0,130.0,130.0
region_81,299023,2730.297744985,45032.26508563141,46906.03781300078,142,1,211,1,28,1.0,3.0,3.0,8.0,9.0,11.0,3591792.9700000007,0.0,0.0,0.0,0.0,0.0,2.0,21.0,21.0,47.0,47.0
region_82,323713,3780.938178465,45305.47325376525,47016.396650179406,155,6,227,7,29,3.0,5.0,5.0,15.0,29.0,29.0,3794623.91,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,1.0
region_83,304452,932.781191195,36395.04423057791,38590.38510757204,292,14,190,3,137,9.0,75.0,107.0,26.0,75.0,85.0,6160619.15,74.0,74.0,12.0,12.0,6.166666666666667,16.0,68.0,68.0,163.0,163.0
region_84,382514,461.416189685,42923.89472462531,44483.883987279456,163,6,170,5,64,4.0,48.0,65.0,15.0,44.0,56.0,4962288.890000001,24.0,24.0,8.0,4.0,6.0,14.0,81.0,81.0,84.0,84.0
region_85,312237,3709.821889255,44729.66272909751,46604.18155477684,196,9,214,1,36,6.0,22.0,24.0,10.0,27.0,33.0,4827628.3100000005,33.0,33.0,10.0,6.0,5.5,12.0,71.0,71.0,291.0,291.0
region_86,562766,7476.819147085001,39152.99916517007,41230.29230741945,308,9,264,2,72,5.0,18.0,30.0,40.0,76.0,89.0,9043386.75,22.0,22.0,16.0,6.0,3.6666666666666665,20.0,67.0,67.0,88.0,88.0
region_87,401234,708.64855028,49064.5291070617,50956.80307195887,183,8,206,0,61,5.0,20.0,22.0,19.0,31.0,32.0,6183767.090000001,69.0,69.0,11.0,7.0,9.857142857142858,14.0,78.0,78.0,185.0,185.0
region_88,542689,2487.34197222,44408.95747705361,46253.941480138834,410,13,321,11,73,8.0,23.0,24.0,17.0,24.0,25.0,7221381.31,93.0,93.0,25.0,10.0,9.3,19.0,210.0,210.0,434.0,434.0
region_89,355758,1820.593057845,43284.714982491285,44623.83197198605,260,11,178,2,40,7.0,44.0,60.0,41.0,75.0,82.0,5845679.390000001,5.0,5.0,1.0,8.0,0.625,0.0,0.0,0.0,0.0,0.0
region_90,447074,2817.953165215,46686.223972057545,47929.49398845733,352,31,277,8,89,18.0,55.0,56.0,38.0,55.0,59.0,8075709.99,46.0,46.0,12.0,22.0,2.090909090909091,3.0,6.0,6.0,26.0,26.0
region_91,377517,5009.831310565,42745.55931878676,44445.65818379169,250,10,225,3,46,4.0,29.0,39.0,46.0,95.0,103.0,5637241.31,31.0,31.0,10.0,7.0,4.428571428571429,12.0,45.0,45.0,84.0,84.0
region_92,389939,734.360995965,38701.53589836237,39721.16825216833,231,9,146,5,75,0.0,0.0,0.0,5.0,6.0,6.0,7001022.2,3.0,3.0,3.0,10.0,0.3,1.0,9.0,9.0,16.0,16.0
region_93,323575,111.643540105,58259.42127116629,63608.28150583796,314,13,221,2,46,7.0,21.0,22.0,6.0,7.0,7.0,3881688.09,17.0,17.0,10.0,9.0,1.8888888888888888,1.0,15.0,15.0,20.0,20.0
region_94,545012,10892.01787511,36585.0100716675,38183.44995556125,380,13,262,3,87,11.0,83.0,123.0,42.0,72.0,77.0,9655376.56,64.0,64.0,13.0,12.0,5.333333333333333,13.0,84.0,84.0,84.0,84.0
region_95,292659,252.698993475,41727.483461086485,44501.22628430059,334,16,167,1,67,13.0,77.0,90.0,37.0,65.0,65.0,5409466.070000001,152.0,152.0,29.0,14.0,10.857142857142858,20.0,175.0,175.0,201.0,201.0
region_96,321059,484.212641435,36407.895986325166,38638.41764908357,206,20,209,1,52,13.0,76.0,120.0,28.0,86.0,91.0,5974509.31,70.0,70.0,13.0,14.0,5.0,8.0,46.0,46.0,110.0,110.0
region_97,338417,3708.777236195,38747.41077767074,41145.64904023545,259,18,161,1,55,8.0,48.0,57.0,35.0,56.0,60.0,4901265.54,60.0,60.0,10.0,7.0,8.571428571428571,10.0,54.0,54.0,64.0,64.0
region_98,487393,5189.376597045,46048.81926990849,47755.55739365009,220,9,349,2,49,7.0,31.0,48.0,13.0,18.0,20.0,5386680.459999999,10.0,10.0,6.0,8.0,1.25,2.0,56.0,56.0,141.0,141.0
region_99,286939,914.55639262,43716.546012520776,44944.29185447118,205,5,129,1,30,4.0,9.0,11.0,12.0,12.0,12.0,5618976.220000002,18.0,18.0,5.0,5.0,3.6,2.0,40.0,40.0,102.0,102.0
region_100,283879,1942.08355011,40082.98302330007,39900.71505628525,157,5,180,2,31,5.0,34.0,48.0,14.0,30.0,32.0,5342599.840000001,13.0,13.0,9.0,5.0,2.6,3.0,8.0,8.0,14.0,14.0
region_101,325956,1704.9262200499998,47763.05984217822,49225.161981814585,138,3,187,1,24,1.0,2.0,2.0,7.0,9.0,9.0,3954334.49,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0
region_102,484396,771.9334331700001,41064.42127819379,41593.11849693459,394,26,227,4,93,13.0,41.0,49.0,26.0,35.0,35.0,11910735.37,67.0,67.0,16.0,17.0,3.941176470588236,5.0,10.0,10.0,4.0,4.0
region_103,385727,1076.159285885,40191.9802962238,41539.86683477547,242,16,161,3,41,11.0,31.0,38.0,49.0,67.0,71.0,6544869.69,37.0,37.0,9.0,11.0,3.363636363636364,2.0,32.0,32.0,44.0,44.0
region_104,421215,6568.02313485,36805.53716197213,38484.9273729109,192,6,251,1,69,6.0,49.0,66.0,20.0,58.0,63.0,6420503.619999999,66.0,66.0,18.0,5.0,13.2,13.0,116.0,116.0,186.0,186.0
region_105,382877,402.354224945,38901.654186582455,39573.72335237399,458,25,166,3,95,10.0,53.0,72.0,29.0,45.0,47.0,6350691.470000001,12.0,12.0,4.0,7.0,1.7142857142857142,7.0,116.0,116.0,91.0,91.0
region_106,305578,216.595038625,58232.4125248942,63571.47138931149,511,42,326,5,187,26.0,175.0,225.0,21.0,53.0,64.0,9777991.14,126.0,126.0,20.0,28.0,4.5,18.0,45.0,45.0,88.0,88.0
region_107,357267,1098.62296527,44920.72221786424,46360.19706742704,363,18,215,11,116,10.0,49.0,58.0,42.0,77.0,83.0,6441113.799999999,7.0,7.0,2.0,8.0,0.875,7.0,51.0,51.0,56.0,56.0
region_108,465881,532.19959025,43364.96745908977,46659.57821612824,389,25,293,1,130,18.0,91.0,128.0,20.0,31.0,33.0,8226746.22,18.0,18.0,4.0,16.0,1.125,6.0,82.0,82.0,159.0,159.0
region_109,501854,12985.93712956,35181.19328397373,37177.95969312522,406,14,328,2,88,8.0,40.0,56.0,39.0,76.0,93.0,8442275.69,28.0,28.0,9.0,9.0,3.111111111111111,15.0,88.0,88.0,135.0,135.0
region_110,421762,909.36976198,38645.15361914184,41101.34795613093,149,2,156,1,30,2.0,13.0,20.0,26.0,37.0,37.0,3448287.96,13.0,13.0,12.0,2.0,6.5,8.0,16.0,16.0,25.0,25.0
region_111,438812,3146.3784008,44722.13582179362,46805.33051359303,324,5,307,3,102,0.0,0.0,0.0,15.0,17.0,17.0,5734835.419999999,6.0,6.0,3.0,4.0,1.5,4.0,14.0,14.0,62.0,62.0
region_112,323802,3616.56527596,46597.28706520958,48817.61695765182,127,2,207,1,18,2.0,8.0,8.0,11.0,20.0,23.0,3476175.74,12.0,12.0,10.0,1.0,12.0,18.0,32.0,32.0,110.0,110.0
region_113,300515,2586.372330025,45012.22731070037,45991.45903393168,151,10,165,4,30,4.0,15.0,17.0,2.0,8.0,10.0,5027536.37,34.0,34.0,17.0,3.0,11.333333333333334,16.0,29.0,29.0,52.0,52.0
region_114,308241,156.10671718999998,42698.6,44586.08,318,30,216,2,65,11.0,39.0,44.0,21.0,40.0,42.0,5495741.379999999,14.0,14.0,11.0,13.0,1.0769230769230769,7.0,13.0,13.0,33.0,33.0
region_115,557796,5358.519268005,42148.23768011034,44225.43003055763,369,18,293,3,70,7.0,26.0,27.0,41.0,116.0,118.0,8820272.110000001,3.0,3.0,2.0,7.0,0.4285714285714285,5.0,94.0,94.0,204.0,204.0
region_116,447190,1992.02559693,41782.23299439513,43361.63633421085,244,5,245,2,85,5.0,26.0,40.0,9.0,11.0,11.0,5792704.02,22.0,22.0,21.0,5.0,4.4,1.0,1.0,1.0,20.0,20.0
region_117,291799,674.3729127050001,43691.516939022775,45418.82096023784,192,22,141,1,39,11.0,36.0,44.0,9.0,10.0,11.0,7024997.2,23.0,23.0,9.0,9.0,2.555555555555556,9.0,22.0,22.0,63.0,63.0
