region,unique_hcp_count_Internal medicine / pneumology,activity_count_Internal medicine / pneumology,nr_interactions_Internal medicine / pneumology,unique_hcp_count_Internal medicine,activity_count_Internal medicine,nr_interactions_Internal medicine,market_potential_Internal medicine
region_120,6.0,39.0,45.0,13.0,25.0,29.0,3888017.610000001
region_121,6.0,19.0,25.0,4.0,4.0,4.0,7981287.219999999
region_122,12.0,46.0,55.0,23.0,28.0,28.0,5335549.500000001
region_123,14.0,30.0,36.0,14.0,28.0,29.0,7236248.56
region_124,6.0,28.0,38.0,12.0,12.0,13.0,6497046.980000001
region_125,5.0,18.0,23.0,5.0,7.0,7.0,5634750.710000001
region_126,14.0,99.0,129.0,7.0,18.0,23.0,6292717.960000001
region_127,14.0,28.0,30.0,26.0,34.0,36.0,8280020.49
region_128,9.0,68.0,112.0,30.0,64.0,68.0,5795634.7700000005
region_129,6.0,20.0,24.0,14.0,21.0,22.0,5157128.649999999
region_13,4.0,10.0,13.0,4.0,4.0,4.0,8049626.930000001
region_130,7.0,30.0,41.0,18.0,45.0,46.0,5515496.25
region_131,9.0,68.0,87.0,42.0,133.0,157.0,9771452.800000003
region_132,14.0,81.0,134.0,44.0,99.0,111.0,9740842.179999998
region_133,3.0,14.0,14.0,12.0,22.0,23.0,5101049.139999999
region_134,14.0,92.0,107.0,9.0,10.0,11.0,5502645.14
region_135,11.0,39.0,60.0,15.0,27.0,30.0,6110630.529999999
region_136,0.0,0.0,0.0,5.0,5.0,5.0,3508836.960000001
region_137,5.0,13.0,13.0,35.0,42.0,42.0,5354417.08
region_138,7.0,37.0,49.0,9.0,17.0,19.0,4167984.12
region_139,5.0,10.0,12.0,4.0,6.0,6.0,3412683.1800000006
region_14,5.0,19.0,21.0,5.0,7.0,7.0,6131630.849999999
region_140,8.0,9.0,9.0,9.0,11.0,12.0,6843535.3100000005
region_141,2.0,5.0,7.0,0.0,0.0,0.0,2365808.8000000003
region_142,13.0,63.0,73.0,32.0,41.0,44.0,11294991.860000001
region_143,4.0,24.0,31.0,11.0,15.0,15.0,4108349.35
region_144,1.0,8.0,12.0,3.0,10.0,12.0,4553174.55
region_145,9.0,33.0,41.0,4.0,5.0,6.0,7146645.94
region_146,4.0,14.0,16.0,18.0,24.0,26.0,4713009.03
region_147,10.0,44.0,58.0,4.0,5.0,5.0,6111912.43
region_148,7.0,24.0,32.0,9.0,10.0,11.0,6432939.579999999
region_149,9.0,21.0,28.0,8.0,9.0,9.0,7862356.959999999
region_15,6.0,19.0,20.0,17.0,22.0,23.0,6245946.180000001
region_150,8.0,41.0,55.0,51.0,92.0,98.0,9670167.809999999
region_151,6.0,23.0,30.0,10.0,18.0,18.0,4174836.4499999997
region_152,5.0,21.0,22.0,29.0,38.0,40.0,3667959.759999999
region_153,13.0,33.0,38.0,20.0,26.0,26.0,7194160.059999998
region_154,14.0,73.0,82.0,26.0,32.0,32.0,8176741.020000001
region_155,3.0,6.0,7.0,15.0,17.0,18.0,6022541.079999999
region_156,4.0,50.0,72.0,31.0,69.0,72.0,4506250.600000001
region_157,9.0,24.0,28.0,19.0,28.0,33.0,8341732.380000001
region_158,6.0,27.0,31.0,23.0,40.0,43.0,5567696.59
region_159,11.0,56.0,66.0,31.0,42.0,46.0,6882339.690000001
region_16,8.0,60.0,79.0,12.0,21.0,23.0,6964632.539999999
region_160,11.0,70.0,98.0,24.0,59.0,65.0,6307966.439999999
region_161,4.0,11.0,11.0,5.0,7.0,7.0,2965750.3200000008
region_162,7.0,25.0,26.0,17.0,25.0,27.0,4997244.1899999995
region_163,11.0,66.0,98.0,15.0,27.0,28.0,6606687.1899999995
region_164,13.0,119.0,171.0,19.0,54.0,60.0,9847808.209999997
region_165,13.0,58.0,69.0,21.0,28.0,28.0,9314369.479999999
region_166,3.0,14.0,21.0,7.0,10.0,10.0,3723237.2399999998
region_167,9.0,31.0,36.0,16.0,37.0,43.0,5160784.120000001
region_168,7.0,20.0,22.0,41.0,68.0,75.0,7374602.469999999
region_169,4.0,24.0,26.0,14.0,20.0,20.0,4692080.62
region_17,8.0,33.0,40.0,26.0,52.0,53.0,7180680.75
region_170,12.0,92.0,134.0,24.0,26.0,27.0,7582228.32
region_171,1.0,2.0,2.0,9.0,17.0,17.0,4826953.22
region_172,9.0,37.0,39.0,15.0,37.0,37.0,4199344.41
region_173,9.0,46.0,58.0,46.0,69.0,74.0,10052807.620000001
region_174,5.0,15.0,19.0,5.0,7.0,7.0,9225381.299999999
region_175,10.0,29.0,35.0,9.0,17.0,20.0,6676353.340000001
region_176,8.0,33.0,41.0,8.0,8.0,10.0,6380122.34
region_177,8.0,47.0,61.0,20.0,48.0,51.0,7435483.77
region_178,4.0,10.0,15.0,11.0,17.0,18.0,5155986.2299999995
region_179,21.0,155.0,223.0,35.0,54.0,64.0,12014085.129999999
region_18,5.0,10.0,10.0,5.0,5.0,5.0,5314858.169999999
region_180,7.0,35.0,39.0,11.0,19.0,22.0,2879016.27
region_181,9.0,22.0,31.0,19.0,29.0,32.0,6171693.600000001
region_182,8.0,42.0,71.0,11.0,12.0,12.0,7071598.79
region_183,2.0,14.0,15.0,9.0,18.0,19.0,3924341.66
region_184,6.0,41.0,50.0,12.0,22.0,23.0,4761846.779999999
region_185,15.0,67.0,71.0,32.0,82.0,86.0,8823923.890000002
region_186,4.0,48.0,62.0,3.0,11.0,12.0,5610900.899999999
region_187,4.0,8.0,13.0,23.0,41.0,47.0,7841224.99
region_188,10.0,37.0,38.0,43.0,88.0,91.0,6014800.379999999
region_189,18.0,77.0,93.0,25.0,36.0,39.0,8272681.28
region_19,14.0,68.0,81.0,32.0,45.0,46.0,12417480.460000003
region_190,12.0,69.0,92.0,6.0,8.0,9.0,5908999.84
region_191,20.0,135.0,180.0,61.0,84.0,85.0,7209016.449999999
region_192,6.0,52.0,72.0,26.0,51.0,57.0,4511281.03
region_193,5.0,11.0,14.0,8.0,13.0,14.0,6276448.279999999
region_194,8.0,33.0,36.0,33.0,43.0,43.0,8719749.37
region_195,1.0,3.0,3.0,10.0,12.0,12.0,3008392.04
region_196,5.0,19.0,22.0,33.0,56.0,57.0,5666663.62
region_197,5.0,9.0,9.0,13.0,18.0,18.0,4152148.7800000003
region_198,6.0,25.0,31.0,11.0,24.0,24.0,5601796.700000001
region_199,5.0,38.0,45.0,8.0,12.0,12.0,6112388.640000001
region_2,2.0,5.0,5.0,14.0,20.0,20.0,4650556.48
region_20,7.0,25.0,27.0,35.0,64.0,68.0,5833519.8900000015
region_200,3.0,18.0,25.0,36.0,55.0,68.0,6644712.0600000005
region_21,13.0,40.0,53.0,16.0,24.0,25.0,6318457.04
region_22,4.0,12.0,13.0,13.0,16.0,17.0,6323676.77
region_23,10.0,49.0,66.0,19.0,20.0,21.0,9355067.34
region_24,16.0,54.0,69.0,19.0,28.0,30.0,8862397.68
region_25,5.0,14.0,16.0,7.0,9.0,11.0,5708884.129999999
region_26,3.0,16.0,17.0,18.0,35.0,37.0,4333941.42
region_27,8.0,41.0,46.0,25.0,37.0,38.0,5625862.290000001
region_28,2.0,8.0,10.0,6.0,8.0,8.0,4407140.51
region_29,4.0,11.0,13.0,16.0,37.0,37.0,4347981.759999999
region_3,10.0,76.0,135.0,12.0,21.0,21.0,4712618.0200000005
region_30,9.0,29.0,41.0,15.0,15.0,15.0,5868285.140000001
region_31,5.0,36.0,42.0,10.0,19.0,20.0,4253049.08
region_32,6.0,29.0,30.0,11.0,16.0,16.0,5877672.4399999995
region_33,10.0,111.0,200.0,39.0,123.0,153.0,8025103.489999999
region_34,13.0,36.0,47.0,7.0,7.0,7.0,8488459.910000002
region_35,10.0,43.0,55.0,21.0,30.0,30.0,7910858.440000001
region_36,9.0,18.0,20.0,12.0,16.0,16.0,4646155.89
region_37,4.0,15.0,18.0,3.0,3.0,3.0,4667966.88
region_38,6.0,27.0,31.0,16.0,36.0,45.0,5899152.619999999
region_39,8.0,43.0,59.0,32.0,74.0,78.0,7877570.859999999
region_4,4.0,16.0,20.0,18.0,28.0,28.0,5670948.899999998
region_40,8.0,40.0,46.0,32.0,52.0,53.0,6389428.17
region_41,9.0,83.0,99.0,11.0,17.0,19.0,7450662.720000001
region_42,3.0,11.0,14.0,5.0,10.0,10.0,6085339.83
region_43,14.0,44.0,53.0,6.0,7.0,7.0,8190578.140000001
region_44,6.0,25.0,29.0,17.0,19.0,19.0,9283129.839999998
region_45,15.0,76.0,103.0,33.0,46.0,47.0,8592145.790000001
region_46,5.0,24.0,25.0,7.0,19.0,26.0,3151248.4599999995
region_47,19.0,89.0,116.0,19.0,32.0,35.0,4618636.239999999
region_48,10.0,58.0,81.0,23.0,41.0,43.0,7393454.29
region_49,5.0,18.0,28.0,31.0,47.0,49.0,8453679.95
region_5,3.0,5.0,5.0,2.0,2.0,2.0,3877041.4599999995
region_50,6.0,30.0,42.0,11.0,18.0,19.0,5600293.180000001
region_51,5.0,19.0,24.0,37.0,60.0,64.0,4656319.22
region_52,12.0,42.0,58.0,14.0,20.0,24.0,7946849.4
region_53,4.0,9.0,9.0,8.0,8.0,8.0,4740203.250000001
region_54,8.0,40.0,54.0,40.0,48.0,49.0,5910992.63
region_55,9.0,41.0,55.0,13.0,21.0,24.0,6149109.049999999
region_56,1.0,2.0,2.0,10.0,14.0,14.0,4904577.15
region_57,5.0,30.0,47.0,18.0,32.0,37.0,5758736.320000001
region_58,2.0,22.0,32.0,15.0,32.0,33.0,3418378.27
region_59,7.0,28.0,32.0,11.0,13.0,14.0,6568791.550000001
region_6,3.0,19.0,28.0,11.0,21.0,22.0,2676744.87
region_60,5.0,22.0,26.0,21.0,32.0,32.0,5107997.340000001
region_61,14.0,60.0,72.0,29.0,45.0,46.0,7504765.4
region_62,5.0,24.0,26.0,22.0,27.0,28.0,7097781.720000002
region_63,21.0,77.0,117.0,10.0,13.0,13.0,9453378.100000001
region_64,6.0,46.0,48.0,23.0,38.0,42.0,4801111.670000001
region_65,3.0,7.0,7.0,6.0,7.0,9.0,4590537.9
region_66,9.0,50.0,62.0,13.0,31.0,32.0,5979243.170000001
region_67,14.0,86.0,117.0,10.0,20.0,20.0,5130837.29
region_68,4.0,16.0,20.0,31.0,46.0,47.0,6657561.859999999
region_69,17.0,167.0,187.0,25.0,56.0,60.0,7513502.37
region_7,22.0,76.0,91.0,26.0,39.0,41.0,9259618.28
region_70,8.0,47.0,51.0,16.0,22.0,22.0,6472060.140000001
region_71,6.0,7.0,9.0,28.0,38.0,40.0,9656255.249999998
region_72,8.0,55.0,66.0,17.0,31.0,34.0,4383231.78
region_73,7.0,36.0,44.0,24.0,37.0,37.0,5886665.79
region_74,4.0,31.0,40.0,18.0,36.0,38.0,5197853.87
region_75,10.0,51.0,54.0,29.0,41.0,42.0,6778634.82
region_76,3.0,5.0,5.0,6.0,6.0,6.0,5108832.989999999
region_77,7.0,12.0,14.0,19.0,24.0,25.0,4857821.680000001
region_78,26.0,138.0,174.0,23.0,49.0,52.0,10777621.05
region_79,14.0,134.0,203.0,25.0,62.0,72.0,4904710.390000001
region_8,8.0,23.0,29.0,7.0,10.0,12.0,4716729.420000001
region_80,5.0,25.0,30.0,43.0,90.0,98.0,6927095.559999999
region_81,1.0,3.0,3.0,8.0,9.0,11.0,3591792.9700000007
region_82,3.0,5.0,5.0,15.0,29.0,29.0,3794623.9099999997
region_83,9.0,75.0,107.0,26.0,75.0,85.0,6160619.15
region_84,4.0,48.0,65.0,15.0,44.0,56.0,4962288.890000001
region_85,6.0,22.0,24.0,10.0,27.0,33.0,4827628.3100000005
region_86,5.0,18.0,30.0,40.0,76.0,89.0,9043386.75
region_87,5.0,20.0,22.0,19.0,31.0,32.0,6183767.090000001
region_88,8.0,23.0,24.0,17.0,24.0,25.0,7221381.3100000005
region_89,7.0,44.0,60.0,41.0,75.0,82.0,5845679.390000001
region_9,9.0,40.0,51.0,21.0,38.0,41.0,4112566.89
region_90,18.0,55.0,56.0,38.0,55.0,59.0,8075709.99
region_91,4.0,29.0,39.0,46.0,95.0,103.0,5637241.31
region_92,0.0,0.0,0.0,5.0,6.0,6.0,7001022.2
region_93,7.0,21.0,22.0,6.0,7.0,7.0,3881688.0899999994
region_94,11.0,83.0,123.0,42.0,72.0,77.0,9655376.559999999
region_95,13.0,77.0,90.0,37.0,65.0,65.0,5409466.070000001
region_96,13.0,76.0,120.0,28.0,86.0,91.0,5974509.31
region_97,8.0,48.0,57.0,35.0,56.0,60.0,4901265.54
region_98,7.0,31.0,48.0,13.0,18.0,20.0,5386680.459999999
region_99,4.0,9.0,11.0,12.0,12.0,12.0,5618976.220000002
