hcp,tier,region,specialty
15525,1,region_167,Internal medicine / pneumology
15582,1,region_7,Internal medicine / pneumology
15597,1,region_106,Internal medicine / pneumology
15623,1,region_25,Internal medicine
15670,1,region_69,Internal medicine / pneumology
15671,1,region_150,Internal medicine / pneumology
15708,1,region_90,Internal medicine
15748,1,region_24,Internal medicine
15761,1,region_184,Internal medicine / pneumology
15773,1,region_98,Internal medicine / pneumology
15778,1,region_61,Internal medicine
15779,1,region_27,Internal medicine / pneumology
15890,2,region_60,Internal medicine
15905,2,region_97,General practicioner
15957,1,region_108,Internal medicine / pneumology
15998,2,region_198,General practicioner
16002,1,region_80,Internal medicine / pneumology
16028,3,region_127,General practicioner
16036,2,region_133,General practicioner
16072,1,region_153,Internal medicine / pneumology
16073,2,region_2,General practicioner
16076,1,region_158,Internal medicine / pneumology
16119,1,region_158,Internal medicine / pneumology
16120,2,region_158,Internal medicine
16122,2,region_140,General practicioner
16159,2,region_86,Internal medicine
16176,2,region_200,General practicioner
16192,2,region_171,General practicioner
16194,2,region_1,General practicioner
16213,2,region_57,General practicioner
16217,2,region_131,Internal medicine
16270,2,region_45,Internal medicine
16279,2,region_94,Internal medicine
16304,1,region_163,Internal medicine / pneumology
16326,1,region_64,Internal medicine / pneumology
16353,1,region_175,Internal medicine
16356,1,region_86,Internal medicine / pneumology
16361,1,region_23,Internal medicine / pneumology
16391,2,region_184,Internal medicine
16423,1,region_79,Internal medicine / pneumology
16468,2,region_179,Internal medicine
16562,1,region_20,Internal medicine
16570,1,region_44,Internal medicine / pneumology
16592,1,region_96,Internal medicine / pneumology
16596,1,region_23,Internal medicine / pneumology
16621,1,region_52,Internal medicine / pneumology
16626,1,region_8,Internal medicine
16633,1,region_63,Internal medicine / pneumology
16717,1,region_95,Internal medicine / pneumology
16744,1,region_160,Internal medicine / pneumology
16754,2,region_163,Internal medicine
16790,2,region_39,Internal medicine
16791,2,region_11,General practicioner
16805,1,region_43,Internal medicine / pneumology
16807,1,region_45,Internal medicine / pneumology
16810,2,region_159,General practicioner
16811,2,region_163,Internal medicine
16813,2,region_83,Internal medicine
16820,1,region_4,Internal medicine / pneumology
16832,2,region_57,General practicioner
16838,2,region_138,General practicioner
16839,2,region_155,General practicioner
16857,2,region_84,General practicioner
16859,1,region_194,Internal medicine / pneumology
16876,2,region_68,General practicioner
16877,2,region_68,General practicioner
16884,2,region_49,General practicioner
16899,1,region_127,Internal medicine / pneumology
16911,2,region_181,Internal medicine
16924,2,region_23,General practicioner
16926,2,region_162,General practicioner
16927,2,region_3,General practicioner
16928,1,region_176,Internal medicine / pneumology
16933,2,region_69,General practicioner
16950,2,region_181,Internal medicine
16953,2,region_52,General practicioner
16959,2,region_192,General practicioner
16963,3,region_36,General practicioner
16971,1,region_71,Internal medicine / pneumology
16973,2,region_167,General practicioner
16993,2,region_156,Internal medicine
16997,2,region_149,General practicioner
17009,2,region_87,Internal medicine
17029,3,region_93,General practicioner
17052,1,region_1,Internal medicine / pneumology
17085,2,region_57,General practicioner
17086,1,region_106,Internal medicine / pneumology
17091,1,region_165,Internal medicine / pneumology
17102,2,region_74,Internal medicine
17106,2,region_159,General practicioner
17141,3,region_106,Internal medicine
17144,2,region_49,Internal medicine
17146,1,region_39,Internal medicine / pneumology
17157,2,region_39,General practicioner
17162,3,region_58,Internal medicine
17169,1,region_41,Internal medicine / pneumology
17177,2,region_138,General practicioner
17204,1,region_64,Internal medicine / pneumology
17205,1,region_52,Internal medicine / pneumology
17228,1,region_106,Internal medicine
17232,1,region_128,Internal medicine / pneumology
17242,3,region_150,General practicioner
17250,1,region_172,Internal medicine / pneumology
17265,1,region_90,Internal medicine / pneumology
17294,1,region_146,Internal medicine
17301,1,region_16,Internal medicine / pneumology
17312,1,region_157,Internal medicine / pneumology
17323,2,region_46,Internal medicine / pneumology
17332,1,region_181,Internal medicine / pneumology
17338,1,region_182,Internal medicine / pneumology
17343,1,region_69,Internal medicine / pneumology
17364,1,region_106,Internal medicine / pneumology
17374,1,region_123,Internal medicine / pneumology
17379,2,region_85,Internal medicine / pneumology
17471,1,region_70,Internal medicine / pneumology
17503,1,region_108,Internal medicine / pneumology
17510,1,region_94,Internal medicine
17527,1,region_67,Internal medicine / pneumology
17535,1,region_163,Internal medicine
17544,1,region_168,Internal medicine / pneumology
17616,1,region_173,Internal medicine / pneumology
17713,1,region_156,Internal medicine / pneumology
17715,2,region_109,General practicioner
17792,2,region_74,Internal medicine and general practicioner
17816,2,region_68,General practicioner
17828,2,region_74,General practicioner
17831,2,region_49,Internal medicine
17842,2,region_70,General practicioner
17856,1,region_184,Internal medicine / pneumology
17881,2,region_200,General practicioner
17910,1,region_142,Internal medicine / pneumology
17919,2,region_2,General practicioner
17924,2,region_154,General practicioner
17925,2,region_38,General practicioner
17926,2,region_174,General practicioner
17931,2,region_74,General practicioner
17935,1,region_128,Internal medicine / pneumology
17939,1,region_98,Internal medicine / pneumology
17975,2,region_154,Internal medicine
17994,1,region_190,Internal medicine / pneumology
18004,2,region_49,General practicioner
18005,2,region_140,Internal medicine
18015,2,region_2,Internal medicine
18016,1,region_128,Internal medicine / pneumology
18022,2,region_150,General practicioner
18023,2,region_155,Internal medicine
18036,2,region_74,General practicioner
18043,1,region_1,Internal medicine / pneumology
18057,1,region_192,Internal medicine / pneumology
18058,1,region_163,Internal medicine / pneumology
18079,3,region_131,General practicioner
18093,2,region_179,Internal medicine
18105,1,region_73,Internal medicine / pneumology
18116,2,region_198,Internal medicine and general practicioner
18132,2,region_174,General practicioner
18133,2,region_163,Internal medicine
18176,1,region_191,Internal medicine / pneumology
18179,2,region_131,General practicioner
18184,1,region_74,Internal medicine / pneumology
18186,1,region_3,Internal medicine / pneumology
18203,2,region_32,Internal medicine
18216,2,region_155,Internal medicine
18256,1,region_108,Internal medicine
18259,1,region_142,Internal medicine / pneumology
18265,1,region_128,Internal medicine / pneumology
18273,1,region_128,Internal medicine / pneumology
18293,2,region_3,Internal medicine / pneumology
18307,1,region_167,Internal medicine / pneumology
18314,2,region_197,Internal medicine
18324,2,region_4,Internal medicine / pneumology
18345,1,region_83,Internal medicine / pneumology
18406,2,region_70,Internal medicine
18419,1,region_44,Internal medicine / pneumology
18420,1,region_152,Internal medicine
18424,1,region_49,Internal medicine / pneumology
18439,1,region_83,Internal medicine / pneumology
18461,1,region_90,Internal medicine
18469,1,region_68,Internal medicine / pneumology
18484,1,region_33,Internal medicine
18486,1,region_151,Internal medicine / pneumology
18491,1,region_135,Internal medicine
18514,1,region_49,Internal medicine / pneumology
18546,1,region_33,Internal medicine / pneumology
18600,1,region_182,Internal medicine / pneumology
18601,1,region_194,Internal medicine
18606,2,region_54,Internal medicine
18609,1,region_114,Internal medicine / pneumology
18617,1,region_71,Internal medicine / pneumology
18624,1,region_166,Internal medicine / pneumology
18652,1,region_162,General practicioner
18654,3,region_109,General practicioner
18663,1,region_121,Internal medicine / pneumology
18678,1,region_69,Internal medicine / pneumology
18694,2,region_98,General practicioner
18695,1,region_30,Internal medicine / pneumology
18708,1,region_72,Internal medicine
18709,2,region_11,General practicioner
18748,2,region_8,General practicioner
18761,2,region_160,Internal medicine
18771,1,region_19,Internal medicine / pneumology
18775,2,region_184,Internal medicine
18840,2,region_200,Internal medicine and general practicioner
18842,2,region_181,Internal medicine and general practicioner
18848,2,region_166,General practicioner
18868,2,region_68,General practicioner
18892,2,region_153,General practicioner
18919,1,region_24,Internal medicine / pneumology
18934,2,region_138,Internal medicine
18936,3,region_31,Internal medicine
18943,2,region_57,General practicioner
18957,1,region_151,Internal medicine / pneumology
18965,1,region_123,Internal medicine / pneumology
18980,2,region_94,Internal medicine
18984,2,region_44,Internal medicine
18998,3,region_150,General practicioner
19013,2,region_132,Internal medicine
19017,3,region_150,Internal medicine
19025,2,region_150,Internal medicine
19032,2,region_163,Internal medicine
19037,1,region_26,Internal medicine / pneumology
19045,2,region_115,General practicioner
19073,2,region_177,Internal medicine
19088,1,region_96,Internal medicine / pneumology
19115,1,region_179,Internal medicine / pneumology
19129,2,region_91,Internal medicine
19166,1,region_22,Internal medicine / pneumology
19167,1,region_122,Internal medicine / pneumology
19178,1,region_52,Internal medicine / pneumology
19184,1,region_10,Internal medicine / pneumology
19315,1,region_145,Internal medicine / pneumology
19320,2,region_37,Internal medicine
19342,1,region_61,Internal medicine / pneumology
19360,2,region_163,Internal medicine
19366,1,region_140,Internal medicine
19368,1,region_52,Internal medicine
19371,1,region_159,Internal medicine / pneumology
19406,1,region_127,Internal medicine / pneumology
19455,1,region_191,Internal medicine
19498,2,region_168,General practicioner
19513,2,region_34,General practicioner
19514,2,region_6,Internal medicine
19532,2,region_153,Internal medicine
19609,2,region_157,General practicioner
19623,1,region_175,Internal medicine / pneumology
19632,2,region_55,General practicioner
19634,1,region_1,Internal medicine / pneumology
19642,1,region_52,Internal medicine / pneumology
19655,2,region_3,General practicioner
19660,2,region_103,Internal medicine
19695,2,region_88,General practicioner
19700,3,region_72,General practicioner
19706,2,region_71,General practicioner
19707,3,region_150,General practicioner
19711,2,region_88,General practicioner
19723,2,region_200,Internal medicine and general practicioner
19733,2,region_69,Internal medicine
19734,2,region_103,General practicioner
19735,2,region_117,General practicioner
19738,2,region_135,General practicioner
19753,2,region_156,General practicioner
19759,2,region_78,Internal medicine
19763,3,region_134,Internal medicine
19764,3,region_128,Internal medicine
19768,3,region_123,General practicioner
19781,2,region_1,General practicioner
19787,2,region_4,General practicioner
19788,2,region_142,Internal medicine
19793,2,region_156,General practicioner
19804,2,region_129,General practicioner
19833,3,region_31,Internal medicine
19834,2,region_194,Internal medicine
19841,2,region_153,Internal medicine
19850,2,region_200,General practicioner
19892,2,region_69,General practicioner
19899,2,region_169,General practicioner
19901,2,region_138,Internal medicine and general practicioner
19908,2,region_67,Internal medicine
19913,1,region_60,Internal medicine / pneumology
19930,1,region_6,Internal medicine / pneumology
19931,2,region_90,Internal medicine
19956,2,region_3,Internal medicine
19972,1,region_120,Internal medicine / pneumology
20008,1,region_149,Internal medicine / pneumology
20013,1,region_0,Internal medicine / pneumology
20021,1,region_52,Internal medicine / pneumology
20023,2,region_185,Internal medicine
20066,1,region_175,Internal medicine / pneumology
20071,1,region_102,Internal medicine
20135,1,region_69,Internal medicine / pneumology
20208,1,region_97,Internal medicine / pneumology
20223,1,region_197,Internal medicine / pneumology
20245,1,region_152,Internal medicine / pneumology
20258,1,region_132,Internal medicine / pneumology
20272,1,region_126,Internal medicine / pneumology
20284,1,region_67,Internal medicine
20308,2,region_46,Internal medicine / pneumology
20320,1,region_33,Internal medicine / pneumology
20337,1,region_63,Internal medicine / pneumology
20354,1,region_88,Internal medicine / pneumology
20360,2,region_115,Internal medicine / pneumology
20399,1,region_17,Internal medicine / pneumology
20416,2,region_135,Internal medicine
20418,1,region_99,Internal medicine / pneumology
20420,2,region_165,General practicioner
20465,1,region_62,Internal medicine / pneumology
20471,2,region_39,General practicioner
20490,2,region_110,Internal medicine
20494,2,region_110,General practicioner
20496,1,region_102,Internal medicine / pneumology
20510,1,region_48,Internal medicine / pneumology
20538,2,region_163,Internal medicine
20543,2,region_66,Internal medicine
20548,2,region_155,General practicioner
20592,1,region_48,Internal medicine / pneumology
20594,2,region_68,General practicioner
20607,1,region_87,Internal medicine / pneumology
20614,1,region_179,Internal medicine / pneumology
20636,2,region_167,Internal medicine
20641,3,region_178,General practicioner
20646,2,region_160,Internal medicine
20654,1,region_65,Internal medicine / pneumology
20665,2,region_48,Internal medicine
20667,2,region_108,General practicioner
20674,2,region_200,Internal medicine
20677,2,region_150,Internal medicine
20700,1,region_2,General practicioner
20716,1,region_148,Internal medicine / pneumology
20740,2,region_79,Internal medicine
20753,1,region_47,Internal medicine / pneumology
20760,2,region_200,General practicioner
20763,1,region_22,Internal medicine / pneumology
20787,3,region_191,General practicioner
20800,2,region_174,General practicioner
20804,2,region_95,General practicioner
20823,2,region_171,General practicioner
20825,2,region_194,General practicioner
20827,2,region_95,Internal medicine
20831,1,region_52,Internal medicine / pneumology
20833,2,region_26,General practicioner
20834,2,region_171,Internal medicine
20835,3,region_156,General practicioner
20842,2,region_30,General practicioner
20878,2,region_12,General practicioner
20894,2,region_70,Internal medicine
20926,2,region_1,Internal medicine
20934,2,region_71,Internal medicine
20944,2,region_94,Internal medicine / pneumology
20949,1,region_55,Internal medicine / pneumology
20951,3,region_46,General practicioner
20952,1,region_5,Internal medicine / pneumology
20992,1,region_162,Internal medicine / pneumology
20993,1,region_102,Internal medicine
21014,1,region_0,Internal medicine / pneumology
21033,2,region_70,Internal medicine
21067,1,region_179,Internal medicine / pneumology
21113,1,region_132,Internal medicine / pneumology
21170,1,region_90,Internal medicine / pneumology
21197,1,region_124,Internal medicine / pneumology
21201,1,region_1,Internal medicine / pneumology
21204,1,region_44,Internal medicine / pneumology
21215,1,region_0,Internal medicine / pneumology
21238,1,region_140,Internal medicine / pneumology
21262,1,region_86,Internal medicine / pneumology
21269,2,region_57,Internal medicine
21301,1,region_135,Internal medicine
21314,2,region_169,General practicioner
21322,1,region_70,Internal medicine / pneumology
21357,2,region_11,General practicioner
21387,2,region_75,General practicioner
21391,2,region_165,Internal medicine
21397,1,region_165,Internal medicine / pneumology
21409,2,region_57,General practicioner
21426,2,region_74,General practicioner
21433,1,region_194,Internal medicine / pneumology
21439,2,region_45,General practicioner
21451,2,region_22,Internal medicine
21458,1,region_97,Internal medicine / pneumology
21475,2,region_68,General practicioner
21491,2,region_115,General practicioner
21504,3,region_36,General practicioner
21505,3,region_36,General practicioner
21513,2,region_181,General practicioner
21518,1,region_126,Internal medicine / pneumology
21540,1,region_79,Internal medicine / pneumology
21554,2,region_103,General practicioner
21560,1,region_24,Internal medicine / pneumology
21564,2,region_52,General practicioner
21586,1,region_71,Internal medicine / pneumology
21635,1,region_69,Internal medicine / pneumology
21650,2,region_200,General practicioner
21662,1,region_162,General practicioner
21676,2,region_154,General practicioner
21789,2,region_12,General practicioner
21792,1,region_100,Internal medicine / pneumology
21857,2,region_150,General practicioner
21858,1,region_171,Internal medicine / pneumology
21878,1,region_110,Internal medicine / pneumology
21911,1,region_52,Internal medicine / pneumology
21914,1,region_24,Internal medicine / pneumology
21915,1,region_90,Internal medicine / pneumology
21934,1,region_105,Internal medicine / pneumology
21953,1,region_122,Internal medicine / pneumology
21967,1,region_66,Internal medicine
21978,1,region_135,Internal medicine / pneumology
22000,1,region_123,Internal medicine
22007,2,region_192,Internal medicine / pneumology
22019,2,region_198,General practicioner
22036,1,region_9,Internal medicine / pneumology
22047,2,region_30,General practicioner
22082,1,region_55,Internal medicine / pneumology
22087,1,region_179,Internal medicine / pneumology
22100,1,region_90,Internal medicine / pneumology
22101,2,region_97,Internal medicine / pneumology
22122,1,region_96,Internal medicine
22123,2,region_165,Internal medicine
22175,1,region_147,Internal medicine
22185,1,region_89,Internal medicine / pneumology
22189,1,region_103,Internal medicine / pneumology
22194,2,region_154,Internal medicine
22234,2,region_159,Internal medicine
22240,2,region_200,General practicioner
22248,2,region_83,Internal medicine
22286,1,region_152,Internal medicine / pneumology
22304,2,region_110,Internal medicine
22319,2,region_30,General practicioner
22339,2,region_45,General practicioner
22341,1,region_179,Internal medicine
22343,2,region_74,General practicioner
22345,2,region_54,General practicioner
22395,2,region_103,Internal medicine
22434,3,region_150,General practicioner
22439,1,region_76,Internal medicine / pneumology
22444,2,region_38,Internal medicine
22452,1,region_70,Internal medicine / pneumology
22457,1,region_19,Internal medicine / pneumology
22468,2,region_87,General practicioner
22472,2,region_200,Internal medicine and general practicioner
22473,2,region_117,General practicioner
22476,2,region_156,Internal medicine
22478,1,region_119,Internal medicine / pneumology
22488,1,region_67,Internal medicine / pneumology
22508,2,region_52,Internal medicine
22512,1,region_71,Internal medicine / pneumology
22533,2,region_2,General practicioner
22540,2,region_197,Internal medicine
22547,2,region_52,Internal medicine
22558,2,region_52,General practicioner
22578,1,region_73,Internal medicine / pneumology
22585,2,region_140,General practicioner
22617,2,region_55,General practicioner
22631,1,region_87,Internal medicine / pneumology
22633,2,region_169,Internal medicine and general practicioner
22651,2,region_103,Internal medicine
22652,1,region_5,Internal medicine / pneumology
22654,3,region_31,General practicioner
22657,2,region_198,General practicioner
22658,3,region_112,Internal medicine
22664,2,region_52,General practicioner
22668,1,region_106,Internal medicine / pneumology
22671,1,region_41,Internal medicine / pneumology
22672,1,region_69,Internal medicine / pneumology
22680,1,region_30,Internal medicine / pneumology
22681,2,region_157,General practicioner
22682,1,region_0,Internal medicine / pneumology
22688,1,region_99,Internal medicine / pneumology
22689,2,region_87,General practicioner
22736,2,region_131,General practicioner
22748,2,region_31,General practicioner
22757,3,region_150,General practicioner
22775,2,region_102,Internal medicine
22780,1,region_177,Internal medicine / pneumology
22798,2,region_69,Internal medicine
22808,1,region_147,Internal medicine / pneumology
22825,1,region_79,Internal medicine / pneumology
22864,1,region_61,Internal medicine / pneumology
22872,1,region_174,Internal medicine / pneumology
22886,1,region_102,Internal medicine / pneumology
22913,1,region_78,Internal medicine / pneumology
22956,1,region_36,Internal medicine / pneumology
22983,1,region_191,Internal medicine / pneumology
23021,1,region_91,Internal medicine / pneumology
23039,1,region_158,Internal medicine / pneumology
23076,1,region_191,Internal medicine / pneumology
23077,1,region_139,Internal medicine / pneumology
23088,1,region_192,Internal medicine / pneumology
23108,1,region_82,Internal medicine / pneumology
23111,1,region_174,Internal medicine
23120,1,region_51,Internal medicine / pneumology
23180,1,region_158,Internal medicine
23198,2,region_170,General practicioner
23208,1,region_147,Internal medicine
23218,3,region_109,General practicioner
23230,2,region_51,Internal medicine
23231,1,region_109,Internal medicine / pneumology
23237,1,region_13,Internal medicine / pneumology
23261,3,region_109,Internal medicine
23280,2,region_57,General practicioner
23314,2,region_68,General practicioner
23342,1,region_19,Internal medicine / pneumology
23364,2,region_69,General practicioner
23368,2,region_49,Internal medicine
23387,2,region_143,Internal medicine
23398,1,region_80,Internal medicine / pneumology
23400,1,region_183,Internal medicine / pneumology
23403,2,region_18,Internal medicine
23412,1,region_142,Internal medicine
23420,2,region_148,General practicioner
23439,2,region_80,General practicioner
23446,2,region_200,Internal medicine
23449,3,region_127,Internal medicine
23457,3,region_106,General practicioner
23471,2,region_110,General practicioner
23496,1,region_42,Internal medicine / pneumology
23497,2,region_52,General practicioner
23504,2,region_164,Internal medicine
23509,1,region_95,Internal medicine / pneumology
23531,2,region_114,Internal medicine
23556,2,region_198,General practicioner
23572,1,region_21,Internal medicine / pneumology
23577,2,region_130,Internal medicine / pneumology
23590,2,region_114,General practicioner
23599,3,region_137,Internal medicine
23628,2,region_99,General practicioner
23637,2,region_121,General practicioner
23649,1,region_191,Internal medicine / pneumology
23676,1,region_96,Internal medicine / pneumology
23693,2,region_179,Internal medicine
23696,3,region_109,General practicioner
23706,2,region_49,Internal medicine
23712,2,region_184,General practicioner
23739,1,region_126,Internal medicine / pneumology
23763,2,region_146,Internal medicine
23775,2,region_8,Internal medicine
23777,1,region_176,Internal medicine / pneumology
23786,1,region_41,Internal medicine / pneumology
23787,1,region_162,Internal medicine / pneumology
23822,1,region_66,Internal medicine / pneumology
23828,1,region_11,Internal medicine / pneumology
23861,1,region_79,Internal medicine / pneumology
23905,1,region_9,Internal medicine / pneumology
23943,1,region_55,Internal medicine
23945,2,region_64,Internal medicine
23960,1,region_131,Internal medicine / pneumology
23981,1,region_150,Internal medicine / pneumology
