region,population,area,pci16,pci18
region_146,318320,1343.252950395,38835.608064370106,40121.11202265365
region_147,335310,579.9516389300001,46598.18860894914,50643.31335412155
region_148,317306,2356.435878145,45486.02729761217,47191.59323256421
region_149,351807,495.716787085,41728.04162883929,42871.90103369104
region_150,536929,3415.1260061899998,41281.75861507195,41579.09363912522
region_151,297431,4301.17943823,42278.25328549039,44991.420411256375
region_152,338623,3775.89347241,37915.1170297293,40325.86556207184
region_153,422929,2001.7721219300001,45812.70908571203,48057.04003321169
region_154,423341,154.47548644,38652.12994183328,41107.59671458673
region_155,307451,4884.173328565,40415.68402083505,42711.47798117365
region_156,299274,1390.9189857899999,45579.189465960604,48213.45323919848
region_157,528663,1691.3326277750002,39725.23455626566,41274.97668028191
region_158,332784,325.459701525,43045.78196627924,44697.41197536814
region_159,444131,2080.725707365,38062.92357872115,40061.84896582205
region_160,366747,737.6994932800001,43490.30960874967,45949.498084020226
region_161,292017,280.26742945999996,49133.82303998121,50753.50174243016
region_162,380484,2415.408229765,40940.71013933051,42379.71159997592
region_163,329314,438.710268375,37588.12322272532,39815.26132463675
region_164,332866,165.88248338,48733.12857084881,51093.07993379515
region_165,526171,12386.29314317,38058.94303442134,39595.49276780699
region_166,324074,2196.24323518,56253.7171850507,60786.663784060074
region_167,391532,3316.7551772399997,47519.70816595854,49510.326313550206
region_168,465750,2220.64612097,46289.935955293055,48158.85416785588
region_169,306165,2858.031053665,50220.94344420296,54501.69478240106
region_170,421289,3113.32368869,35661.32746899459,37117.66933250681
region_171,351158,2989.70144003,45617.68604668643,47488.99014213206
region_172,295956,1878.760803545,40585.45837633292,42669.553031252726
region_173,447650,3334.4493853299996,42661.69779258536,44844.42643985587
region_174,450441,5917.828732755001,43870.492173984276,44777.67571842571
region_175,370839,1494.73248102,40379.71370238046,42361.48199891709
region_176,394741,1285.75708184,40764.279917066524,41856.11769050817
region_177,419601,2042.148938805,42777.12682057217,44543.12380541461
region_178,333725,3502.9048947849997,45387.79497225622,48283.49556998891
region_179,572787,7282.560235145,38782.59547119818,41215.29233979961
region_180,347905,193.662319635,58259.42127116629,63608.28150583796
region_181,331823,857.93583953,44697.37645431968,46692.87188499894
region_182,369052,3275.78259817,42065.28551441394,43984.385596682885
region_183,310970,1880.2015175899999,47511.92217428117,49662.107411031626
region_184,293343,407.85594369999995,40265.62161036467,42784.034367451575
region_185,472021,3662.4698308549996,40478.190635395724,42274.36831661519
region_186,291996,4485.683167155,40837.74399667413,42974.12675684718
region_187,515453,4402.930882080001,42539.37329580406,44132.93432778821
region_188,482893,3898.254462595,38438.67922370908,40617.00756959213
region_189,473457,8718.030077984999,36758.69272740207,38772.71331839056
region_190,301410,316.26757049500003,48845.19567688747,50908.79555549889
region_191,506991,8524.200649455,36176.71069505399,38543.194751195326
region_192,377823,4136.819455725,46389.67721548156,47843.542264503136
region_193,416180,635.8645393950001,48679.89772605903,50346.953159936944
region_194,472948,7588.07291017,38655.32133304526,40461.44956494922
region_195,304137,1761.9840279300001,57500.496969715896,62612.034029647366
region_196,488935,4383.30846735,47628.42806364411,50590.45542894009
region_197,367538,6688.08064246,41370.782569101866,44005.413325377776
region_198,374756,6500.06813062,43452.29738863786,45337.58089492952
region_199,319660,2309.103167445,40976.82150066339,42691.76724738997
region_200,395114,2598.725435955,44282.292556703185,46215.14059095081
