hcp,population,area,pci16,pci18,Internal medicine,Internal medicine / pneumology,General practicioner,Internal medicine and general practicioner,Pediatrician,hcp,tier,region,specialty
4276,292017,280.26742946,49133.82303998121,50753.50174243016,233,17,137,0,30,4276,1,region_161,Internal medicine
4652,304452,932.781191195,36395.04423057791,38590.38510757204,292,14,190,3,137,4652,2,region_83,Internal medicine
4704,421762,909.36976198,38645.15361914184,41101.34795613093,149,2,156,1,30,4704,2,region_110,General practicioner
4707,482893,3898.254462595,38438.67922370908,40617.00756959213,246,17,234,1,54,4707,1,region_188,Internal medicine / pneumology
4731,395114,2598.725435955,44282.29255670319,46215.14059095081,269,4,239,25,57,4731,2,region_200,General practicioner
4733,305578,216.595038625,58232.4125248942,63571.47138931149,511,42,326,5,187,4733,1,region_106,Internal medicine
4735,541116,5200.616483475,42154.98186708018,43863.59104463951,332,22,277,4,88,4735,1,region_24,General practicioner
4793,528626,19013.448093125,40270.8691500684,42128.622570789055,328,20,308,2,71,4793,3,region_131,General practicioner
4865,325956,1704.9262200499998,47763.05984217822,49225.161981814585,138,3,187,1,24,4865,2,region_101,Internal medicine
4874,506991,8524.200649455,36176.71069505399,38543.194751195326,400,24,342,0,90,4874,1,region_191,Internal medicine / pneumology
4894,324074,2196.24323518,56253.7171850507,60786.66378406008,128,3,218,2,30,4894,3,region_166,General practicioner
4899,324990,681.550024385,45163.973492282974,46181.14470036704,206,16,149,1,48,4899,1,region_20,Internal medicine / pneumology
5003,370839,1494.73248102,40379.71370238046,42361.48199891709,316,19,228,2,68,5003,1,region_175,Internal medicine
5087,347004,2309.84630162,48882.45762105983,52941.60818689621,144,5,241,1,24,5087,1,region_11,Internal medicine
5244,348086,4164.570398015,46186.5592866436,47424.04679007741,264,17,280,4,70,5244,1,region_137,Internal medicine / pneumology
5354,297082,360.80529598,44784.45632909552,45981.72217118941,382,17,204,7,118,5354,2,region_21,Internal medicine
5404,397520,602.376419425,39424.04499582988,40424.84519009168,294,7,207,4,54,5404,1,region_68,Internal medicine
5634,300921,2966.39624713,40594.80342422845,42488.72987225042,322,12,235,1,72,5634,2,region_55,Internal medicine
5659,528626,19013.448093125,40270.8691500684,42128.622570789055,328,20,308,2,71,5659,3,region_131,Internal medicine
5674,380244,1893.864008995,42224.88323186671,44597.342131836034,447,31,307,1,106,5674,2,region_52,Internal medicine
5912,543989,730.58755008,47906.89504039801,49401.83082252559,326,26,212,1,58,5912,1,region_142,Internal medicine / pneumology
6450,366747,737.6994932800001,43490.30960874967,45949.49808402023,242,13,183,3,75,6450,2,region_160,Internal medicine
6457,323802,3616.56527596,46597.28706520958,48817.61695765182,127,2,207,1,18,6457,3,region_112,Internal medicine
6561,447074,2817.953165215,46686.223972057545,47929.49398845733,352,31,277,8,89,6561,2,region_90,Internal medicine
6772,347004,2309.84630162,48882.45762105983,52941.60818689621,144,5,241,1,24,6772,2,region_11,Internal medicine
7031,304452,932.781191195,36395.04423057791,38590.38510757204,292,14,190,3,137,7031,2,region_83,Internal medicine
7255,376219,5876.13657913,36993.40237936698,39335.135584445765,235,6,230,0,72,7255,2,region_57,Internal medicine
7407,374756,6500.06813062,43452.29738863786,45337.58089492952,182,8,228,12,25,7407,2,region_198,General practicioner
7610,380244,1893.864008995,42224.88323186671,44597.342131836034,447,31,307,1,106,7610,2,region_52,Internal medicine
7619,292017,280.26742946,49133.82303998121,50753.50174243016,233,17,137,0,30,7619,1,region_161,Internal medicine / pneumology
8104,307965,173.468130305,38649.24,41105.12,169,21,131,0,44,8104,1,region_9,Internal medicine / pneumology
8108,547068,6396.314308025,48518.205716833865,51052.264521926285,489,19,470,3,128,8108,1,region_127,Internal medicine / pneumology
8121,307965,173.468130305,38649.24,41105.12,169,21,131,0,44,8121,2,region_9,General practicioner
8150,316970,812.02523969,39271.08036623109,40522.879483978526,186,5,126,4,33,8150,1,region_65,Internal medicine / pneumology
8230,331359,2954.033908245,43899.286950612506,45120.71452461968,209,7,218,4,40,8230,1,region_15,Internal medicine / pneumology
8448,419601,2042.148938805,42777.12682057217,44543.12380541461,308,23,269,14,87,8448,1,region_177,Internal medicine / pneumology
9011,459522,64.130789205,38649.24,41105.12,299,17,384,3,71,9011,1,region_19,Internal medicine
9049,299581,224.197318435,58135.35625783255,63453.55722668387,194,9,167,3,70,9049,1,region_141,Internal medicine / pneumology
9051,438812,3146.3784008,44722.13582179362,46805.33051359303,324,5,307,3,102,9051,3,region_111,General practicioner
9101,323802,3616.56527596,46597.28706520958,48817.61695765182,127,2,207,1,18,9101,3,region_112,General practicioner
9107,528626,19013.448093125,40270.8691500684,42128.622570789055,328,20,308,2,71,9107,2,region_131,General practicioner
9113,431383,4701.726213315,45377.70804101765,47137.854236937215,239,7,273,1,42,9113,2,region_1,General practicioner
9124,470772,1997.63901393,45921.003861056335,47021.37710281745,306,23,240,0,59,9124,1,region_62,Internal medicine / pneumology
9185,377823,4136.819455725,46389.67721548156,47843.542264503136,161,6,224,1,33,9185,2,region_192,General practicioner
9880,331823,857.93583953,44697.37645431968,46692.87188499894,303,19,229,10,96,9880,2,region_181,General practicioner
9892,376219,5876.13657913,36993.40237936698,39335.135584445765,235,6,230,0,72,9892,2,region_57,Internal medicine
10021,487393,5189.376597045,46048.81926990849,47755.55739365009,220,9,349,2,49,10021,2,region_98,General practicioner
10689,295956,1878.760803545,40585.45837633292,42669.553031252726,129,13,176,1,42,10689,1,region_172,Internal medicine
10858,459522,64.130789205,38649.24,41105.12,299,17,384,3,71,10858,2,region_19,Internal medicine
10879,393228,897.21918997,47250.45828230358,49137.60230692609,541,34,287,0,126,10879,2,region_69,General practicioner
10918,487393,5189.376597045,46048.81926990849,47755.55739365009,220,9,349,2,49,10918,2,region_98,General practicioner
10932,303208,4751.57647807,43523.60071389123,45486.24426880677,228,10,229,3,18,10932,2,region_12,General practicioner
10959,528626,19013.448093125,40270.8691500684,42128.622570789055,328,20,308,2,71,10959,2,region_131,Internal medicine
10973,321059,484.212641435,36407.895986325166,38638.41764908357,206,20,209,1,52,10973,1,region_96,Internal medicine / pneumology
11088,370839,1494.73248102,40379.71370238046,42361.48199891709,316,19,228,2,68,11088,1,region_175,Internal medicine / pneumology
11226,488935,4383.30846735,47628.42806364411,50590.45542894009,204,5,326,3,52,11226,1,region_196,Internal medicine
11387,562766,7476.819147085001,39152.99916517007,41230.29230741945,308,9,264,2,72,11387,2,region_86,General practicioner
11770,380244,1893.864008995,42224.88323186671,44597.342131836034,447,31,307,1,106,11770,2,region_52,General practicioner
11775,347905,193.662319635,58259.42127116629,63608.28150583796,210,11,216,2,77,11775,3,region_180,General practicioner
11783,323802,3616.56527596,46597.28706520958,48817.61695765182,127,2,207,1,18,11783,3,region_112,General practicioner
11792,380244,1893.864008995,42224.88323186671,44597.342131836034,447,31,307,1,106,11792,2,region_52,General practicioner
11829,421762,909.36976198,38645.15361914184,41101.34795613093,149,2,156,1,30,11829,2,region_110,Internal medicine
11898,382514,461.416189685,42923.89472462531,44483.883987279456,163,6,170,5,64,11898,1,region_84,Internal medicine
11912,481340,433.493165915,47807.095737135656,48998.648530738246,576,26,302,3,223,11912,1,region_61,Internal medicine / pneumology
11938,370839,1494.73248102,40379.71370238046,42361.48199891709,316,19,228,2,68,11938,1,region_175,Internal medicine
11988,335310,579.9516389300001,46598.18860894914,50643.31335412155,214,21,215,1,43,11988,1,region_147,Internal medicine / pneumology
12111,292659,252.698993475,41727.483461086485,44501.22628430059,334,16,167,1,67,12111,1,region_95,Internal medicine / pneumology
12116,379268,1300.084429985,51331.47202909552,54701.5147903046,217,13,195,1,58,12116,2,region_70,Internal medicine
12172,380244,1893.864008995,42224.88323186671,44597.342131836034,447,31,307,1,106,12172,1,region_52,Internal medicine / pneumology
12229,332784,325.459701525,43045.78196627924,44697.41197536814,241,13,169,2,60,12229,1,region_158,Internal medicine / pneumology
12271,381958,1372.440545005,38799.97238081176,40214.89576209413,315,18,264,2,82,12271,1,region_0,Internal medicine / pneumology
12303,311316,4469.15820453,41460.329717448665,43261.443759558446,174,4,230,7,44,12303,3,region_118,General practicioner
12306,520595,298.050938975,42351.68,43907.92,574,38,370,6,167,12306,1,region_78,General practicioner
12335,470772,1997.63901393,45921.003861056335,47021.37710281745,306,23,240,0,59,12335,1,region_62,Internal medicine / pneumology
12371,444131,2080.725707365,38062.92357872115,40061.84896582205,283,18,214,1,76,12371,2,region_159,General practicioner
12384,294808,653.61051631,41189.10186526831,42903.32734412834,366,24,178,4,114,12384,1,region_67,Internal medicine / pneumology
12396,320450,119.34311882000002,47853.29181840482,49044.01277342743,285,30,198,6,33,12396,1,region_63,Internal medicine / pneumology
12415,369052,3275.78259817,42065.28551441394,43984.385596682885,223,22,262,0,51,12415,2,region_182,Internal medicine
12420,311176,1451.9225471349998,46882.56119251481,49424.95126548196,165,6,215,0,41,12420,1,region_31,Internal medicine / pneumology
12423,297406,1285.352745595,47256.37179516038,49370.94623147627,227,6,193,1,120,12423,2,region_139,General practicioner
12452,309066,1766.12951329,47704.58758235771,51167.22010202415,232,14,197,0,46,12452,2,region_79,Internal medicine
12490,308168,3160.04204693,41187.7235264384,42671.80736288608,193,8,182,8,55,12490,2,region_74,Internal medicine
12502,347004,2309.84630162,48882.45762105983,52941.60818689621,144,5,241,1,24,12502,2,region_11,General practicioner
12505,304137,1761.98402793,57500.496969715896,62612.034029647366,100,3,186,3,42,12505,2,region_195,General practicioner
12518,401234,708.64855028,49064.5291070617,50956.80307195887,183,8,206,0,61,12518,2,region_87,General practicioner
12555,385727,1076.159285885,40191.9802962238,41539.86683477547,242,16,161,3,41,12555,2,region_103,Internal medicine
12560,395114,2598.725435955,44282.29255670319,46215.14059095081,269,4,239,25,57,12560,2,region_200,General practicioner
12576,298560,3726.884651725,43442.39132891304,45766.530521730456,175,11,189,1,31,12576,3,region_36,General practicioner
12584,332784,325.459701525,43045.78196627924,44697.41197536814,241,13,169,2,60,12584,2,region_158,Internal medicine
12624,401234,708.64855028,49064.5291070617,50956.80307195887,183,8,206,0,61,12624,2,region_87,Internal medicine
12625,545012,10892.01787511,36585.0100716675,38183.44995556125,380,13,262,3,87,12625,2,region_94,General practicioner
12666,376219,5876.13657913,36993.40237936698,39335.135584445765,235,6,230,0,72,12666,2,region_57,General practicioner
12700,377823,4136.819455725,46389.67721548156,47843.542264503136,161,6,224,1,33,12700,2,region_192,General practicioner
12720,528626,19013.448093125,40270.8691500684,42128.622570789055,328,20,308,2,71,12720,2,region_131,General practicioner
12763,481340,433.493165915,47807.095737135656,48998.648530738246,576,26,302,3,223,12763,1,region_61,Internal medicine / pneumology
12831,536856,6023.14589796,46261.88849114344,47134.19058620616,362,22,267,5,53,12831,2,region_132,Internal medicine
12857,331823,857.93583953,44697.37645431968,46692.87188499894,303,19,229,10,96,12857,2,region_181,Internal medicine
12893,488935,4383.30846735,47628.42806364411,50590.45542894009,204,5,326,3,52,12893,1,region_196,Internal medicine / pneumology
12904,391532,3316.75517724,47519.70816595854,49510.326313550206,293,13,298,5,84,12904,1,region_167,Internal medicine / pneumology
12907,330895,1185.616592415,58016.33152284889,63253.82473784784,236,26,264,0,69,12907,1,region_134,Internal medicine
13006,516859,7269.26011098,36031.93428078067,38376.51658116495,347,12,255,1,85,13006,1,region_54,Internal medicine / pneumology
13134,520595,298.050938975,42351.68,43907.92,574,38,370,6,167,13134,1,region_78,Internal medicine / pneumology
13143,331823,857.93583953,44697.37645431968,46692.87188499894,303,19,229,10,96,13143,2,region_181,Internal medicine / pneumology
13241,501854,12985.93712956,35181.19328397373,37177.95969312522,406,14,328,2,88,13241,3,region_109,General practicioner
13254,294282,2862.656662375,42983.715631831335,45145.98131152131,176,7,155,14,39,13254,2,region_138,Internal medicine
13258,307965,173.468130305,38649.24,41105.12,169,21,131,0,44,13258,2,region_9,General practicioner
13273,397520,602.376419425,39424.04499582988,40424.84519009168,294,7,207,4,54,13273,2,region_68,General practicioner
13284,320450,119.34311882000002,47853.29181840482,49044.01277342743,285,30,198,6,33,13284,1,region_63,Internal medicine / pneumology
13286,347905,193.662319635,58259.42127116629,63608.28150583796,210,11,216,2,77,13286,3,region_180,General practicioner
13295,419601,2042.148938805,42777.12682057217,44543.12380541461,308,23,269,14,87,13295,1,region_177,Internal medicine / pneumology
13312,382514,461.416189685,42923.89472462531,44483.883987279456,163,6,170,5,64,13312,2,region_84,Internal medicine
13313,297082,360.80529598,44784.45632909552,45981.72217118941,382,17,204,7,118,13313,1,region_21,Internal medicine / pneumology
13351,380244,1893.864008995,42224.88323186671,44597.342131836034,447,31,307,1,106,13351,2,region_52,General practicioner
13372,347905,193.662319635,58259.42127116629,63608.28150583796,210,11,216,2,77,13372,3,region_180,General practicioner
13389,342104,85.250473665,38649.24,41105.12,502,21,204,2,157,13389,1,region_8,Internal medicine / pneumology
13413,330895,1185.616592415,58016.33152284889,63253.82473784784,236,26,264,0,69,13413,3,region_134,General practicioner
13438,473457,8718.030077984999,36758.69272740207,38772.71331839056,276,26,251,2,67,13438,2,region_189,Internal medicine / pneumology
13454,297406,1285.352745595,47256.37179516038,49370.94623147627,227,6,193,1,120,13454,2,region_139,General practicioner
13475,356216,1561.571631685,41130.99782144328,42849.66447641903,136,7,198,2,36,13475,1,region_50,Internal medicine / pneumology
13511,302082,1519.44778533,48695.51342317437,52545.89229382636,134,6,156,1,44,13511,2,region_136,Internal medicine
13531,366747,737.6994932800001,43490.30960874967,45949.49808402023,242,13,183,3,75,13531,1,region_160,Internal medicine
13544,419101,7692.893495175,36767.22147044455,38579.41511491576,250,11,225,0,32,13544,2,region_33,General practicioner
13604,536856,6023.14589796,46261.88849114344,47134.19058620616,362,22,267,5,53,13604,1,region_132,Internal medicine / pneumology
13630,393228,897.21918997,47250.45828230358,49137.60230692609,541,34,287,0,126,13630,1,region_69,Internal medicine / pneumology
13631,305578,216.595038625,58232.4125248942,63571.47138931149,511,42,326,5,187,13631,3,region_106,General practicioner
13659,541116,5200.616483475,42154.98186708018,43863.59104463951,332,22,277,4,88,13659,1,region_24,Internal medicine / pneumology
13681,307451,4884.173328565,40415.68402083505,42711.47798117365,212,8,178,1,23,13681,1,region_155,Internal medicine
13753,292017,280.26742946,49133.82303998121,50753.50174243016,233,17,137,0,30,13753,1,region_161,Internal medicine
13754,375634,1951.91731418,48731.59459969861,48347.02730080437,324,14,313,1,73,13754,1,region_140,Internal medicine / pneumology
13783,305578,216.595038625,58232.4125248942,63571.47138931149,511,42,326,5,187,13783,1,region_106,Internal medicine / pneumology
13833,516859,7269.26011098,36031.93428078067,38376.51658116495,347,12,255,1,85,13833,2,region_54,Internal medicine
13842,542689,2487.34197222,44408.95747705361,46253.941480138834,410,13,321,11,73,13842,2,region_88,Internal medicine
13860,461421,8601.349281820001,38480.416663499054,40959.73747486567,296,19,245,0,71,13860,2,region_45,Internal medicine
13922,354406,1457.7577504699998,45113.68108180971,46098.726288886704,196,7,162,0,57,13922,1,region_124,Internal medicine / pneumology
14014,368750,262.76532562,48463.432731680135,49909.6820689358,330,24,213,2,98,14014,1,region_135,Internal medicine
14041,496826,6434.083117925,44149.02978881942,46695.11700369592,316,11,300,1,65,14041,1,region_49,Internal medicine / pneumology
14114,338417,3708.777236195,38747.41077767074,41145.64904023545,259,18,161,1,55,14114,2,region_97,General practicioner
14118,422929,2001.77212193,45812.70908571203,48057.04003321169,176,19,284,2,52,14118,1,region_153,Internal medicine
14139,461421,8601.349281820001,38480.416663499054,40959.73747486567,296,19,245,0,71,14139,2,region_45,General practicioner
14140,461421,8601.349281820001,38480.416663499054,40959.73747486567,296,19,245,0,71,14140,2,region_45,General practicioner
14213,572787,7282.560235145,38782.59547119818,41215.29233979961,495,41,332,1,87,14213,1,region_179,Internal medicine / pneumology
14232,369052,3275.78259817,42065.28551441394,43984.385596682885,223,22,262,0,51,14232,2,region_182,Internal medicine
14268,397520,602.376419425,39424.04499582988,40424.84519009168,294,7,207,4,54,14268,2,region_68,Internal medicine
14290,379268,1300.084429985,51331.47202909552,54701.5147903046,217,13,195,1,58,14290,2,region_70,General practicioner
14295,292659,252.698993475,41727.483461086485,44501.22628430059,334,16,167,1,67,14295,2,region_95,Internal medicine
14296,455048,6138.053380519999,45493.38136373606,47721.6925757523,235,5,299,1,43,14296,2,region_13,General practicioner
14314,331823,857.93583953,44697.37645431968,46692.87188499894,303,19,229,10,96,14314,2,region_181,Internal medicine
14319,299274,1390.91898579,45579.18946596061,48213.45323919848,142,4,163,1,29,14319,2,region_156,Internal medicine
14321,380244,1893.864008995,42224.88323186671,44597.342131836034,447,31,307,1,106,14321,2,region_52,Internal medicine
14325,528663,1691.3326277750002,39725.23455626566,41274.97668028191,368,15,312,5,125,14325,2,region_157,General practicioner
14357,382514,461.416189685,42923.89472462531,44483.883987279456,163,6,170,5,64,14357,2,region_84,General practicioner
14391,368750,262.76532562,48463.432731680135,49909.6820689358,330,24,213,2,98,14391,1,region_135,Internal medicine / pneumology
14409,311316,4469.15820453,41460.329717448665,43261.443759558446,174,4,230,7,44,14409,3,region_118,General practicioner
14433,365599,280.24859694500003,37134.16,37863.28,347,23,168,10,49,14433,2,region_34,General practicioner
14481,393228,897.21918997,47250.45828230358,49137.60230692609,541,34,287,0,126,14481,1,region_69,Internal medicine / pneumology
14489,324990,681.550024385,45163.973492282974,46181.14470036704,206,16,149,1,48,14489,1,region_20,Internal medicine / pneumology
14513,496826,6434.083117925,44149.02978881942,46695.11700369592,316,11,300,1,65,14513,2,region_49,General practicioner
14565,376861,181.278347825,39007.52861156623,39888.70805993954,252,18,143,1,43,14565,1,region_41,Internal medicine / pneumology
14648,542689,2487.34197222,44408.95747705361,46253.941480138834,410,13,321,11,73,14648,1,region_88,Internal medicine / pneumology
14663,488935,4383.30846735,47628.42806364411,50590.45542894009,204,5,326,3,52,14663,1,region_196,Internal medicine
14682,333102,3186.47850519,43023.98283073583,44434.53943890139,279,15,245,1,80,14682,1,region_130,Internal medicine / pneumology
14688,308241,156.10671718999998,42698.6,44586.08,318,30,216,2,65,14688,2,region_114,Internal medicine
14690,333725,3502.904894785,45387.79497225622,48283.49556998891,239,11,243,0,57,14690,1,region_178,Internal medicine / pneumology
14759,472021,3662.469830855,40478.19063539573,42274.36831661519,393,18,299,3,67,14759,1,region_185,Internal medicine / pneumology
14832,545012,10892.01787511,36585.0100716675,38183.44995556125,380,13,262,3,87,14832,1,region_94,Internal medicine
14869,444131,2080.725707365,38062.92357872115,40061.84896582205,283,18,214,1,76,14869,1,region_159,Internal medicine
14873,342104,85.250473665,38649.24,41105.12,502,21,204,2,157,14873,1,region_8,Internal medicine / pneumology
15020,394741,1285.75708184,40764.27991706653,41856.11769050817,445,22,237,5,112,15020,1,region_176,Internal medicine / pneumology
15045,335310,579.9516389300001,46598.18860894914,50643.31335412155,214,21,215,1,43,15045,2,region_147,Internal medicine
15065,461421,8601.349281820001,38480.416663499054,40959.73747486567,296,19,245,0,71,15065,2,region_45,General practicioner
15090,366121,2397.403402265,46257.25233215537,47946.30648425155,160,7,253,1,52,15090,1,region_125,Internal medicine / pneumology
15154,431383,4701.726213315,45377.70804101765,47137.854236937215,239,7,273,1,42,15154,2,region_1,Internal medicine
15165,309066,1766.12951329,47704.58758235771,51167.22010202415,232,14,197,0,46,15165,2,region_79,Internal medicine
15190,391532,3316.75517724,47519.70816595854,49510.326313550206,293,13,298,5,84,15190,2,region_167,General practicioner
15206,295780,3744.74960892,38182.69732236048,40109.38377772224,123,13,166,3,32,15206,2,region_38,General practicioner
15270,423341,154.47548644,38652.12994183328,41107.59671458673,340,15,243,3,71,15270,2,region_154,Internal medicine
15274,526171,12386.29314317,38058.94303442134,39595.49276780699,379,16,264,0,64,15274,1,region_165,Internal medicine / pneumology
15357,445328,10659.052143505,37304.95165223997,39504.6071492316,302,11,223,2,56,15357,1,region_30,Internal medicine / pneumology
15381,335310,579.9516389300001,46598.18860894914,50643.31335412155,214,21,215,1,43,15381,2,region_147,Internal medicine
15402,301745,1700.8901509399998,47293.516396584026,49851.954655522895,149,4,208,0,53,15402,1,region_133,Internal medicine / pneumology
15420,394741,1285.75708184,40764.27991706653,41856.11769050817,445,22,237,5,112,15420,1,region_176,Internal medicine / pneumology
15430,320570,801.38097818,41114.92,42843.64,227,18,167,0,82,15430,1,region_126,Internal medicine / pneumology
15448,290274,230.311262695,38727.460773319886,39733.89795811521,282,14,135,6,42,15448,2,region_71,Internal medicine
15470,335968,416.6086413050001,38027.8298460016,39058.46124932333,277,25,163,2,45,15470,1,region_122,Internal medicine / pneumology
15473,291799,674.3729127050001,43691.516939022775,45418.82096023784,192,22,141,1,39,15473,1,region_117,Internal medicine / pneumology
15496,395114,2598.725435955,44282.29255670319,46215.14059095081,269,4,239,25,57,15496,2,region_200,Internal medicine
15507,320450,119.34311882000002,47853.29181840482,49044.01277342743,285,30,198,6,33,15507,1,region_63,Internal medicine / pneumology
15525,391532,3316.75517724,47519.70816595854,49510.326313550206,293,13,298,5,84,15525,1,region_167,Internal medicine / pneumology
15582,407943,451.9983656349999,38641.22388687272,41094.34746902544,510,40,246,3,137,15582,1,region_7,Internal medicine / pneumology
15597,305578,216.595038625,58232.4125248942,63571.47138931149,511,42,326,5,187,15597,1,region_106,Internal medicine / pneumology
