,hcp,specialty,region,brand,email_type,content_id,no. openings,no. clicks,time_sent,time_last_opened,time_last_clicked
27,16135,General practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,2,0,2020-08-17 15:58:00,2020-08-19 13:31:00,
28,16767,Internal medicine,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-15 19:09:00,,
29,16767,Internal medicine,region_1,brand_2,general,a3D6f0000019jSnEAI,0,0,2020-08-17 14:33:00,,
31,17189,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,1,2,2020-07-16 16:06:00,2020-07-21 12:56:00,2020-07-21 12:56:00
33,18043,Internal medicine / pneumology,region_1,brand_2,general,a3D6f0000019jSnEAI,2,0,2020-08-17 15:25:00,2020-08-20 09:44:00,
35,18950,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 12:08:00,,
36,18950,General practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,1,0,2020-08-17 14:53:00,2020-08-17 15:07:00,
38,19510,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 15:52:00,,
39,19510,General practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,0,0,2020-08-17 15:39:00,,
42,19634,Internal medicine / pneumology,region_1,brand_2,general,a3D6f0000019jSnEAI,1,0,2020-08-17 15:57:00,2020-08-17 17:59:00,
44,19717,Internal medicine,region_1,brand_2,product_related,a3D6f0000019gA2EAI,1,0,2020-07-16 16:31:00,2020-07-16 17:45:00,
45,19765,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 16:04:00,,
46,19765,General practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,0,0,2020-08-17 15:45:00,,
47,19781,General practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,0,0,2020-08-17 15:00:00,,
50,22838,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,1,0,2020-07-16 16:08:00,2020-07-16 16:59:00,
51,24164,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 16:38:00,,
52,24697,Internal medicine,region_1,brand_2,product_related,a3D6f0000019gA2EAI,1,0,2020-07-16 16:43:00,2020-07-16 21:09:00,
53,24697,Internal medicine,region_1,brand_2,general,a3D6f0000019jSnEAI,1,0,2020-08-17 16:06:00,2020-08-30 09:55:00,
56,25171,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-15 19:11:00,,
57,25171,General practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,0,0,2020-08-17 14:35:00,,
60,25198,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,10,0,2020-07-16 16:02:00,2021-06-08 12:50:00,
61,25198,General practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,9,0,2020-08-17 15:44:00,2021-04-20 08:05:00,
62,25273,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,6,0,2020-07-16 12:00:00,2020-07-16 21:02:00,
66,26137,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 16:09:00,,
67,26137,General practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,0,0,2020-08-17 15:48:00,,
68,26244,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 16:28:00,,
69,26244,General practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,0,0,2020-08-17 16:00:00,,
71,26445,Internal medicine / pneumology,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 16:12:00,,
72,26445,Internal medicine / pneumology,region_1,brand_2,general,a3D6f0000019jSnEAI,1,0,2020-08-17 15:51:00,2020-08-31 13:46:00,
75,27845,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 16:07:00,,
76,27845,General practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,0,0,2020-08-17 15:47:00,,
77,28364,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,8,0,2020-07-16 15:28:00,2020-07-20 10:47:00,
78,28364,General practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,1,0,2020-08-17 15:05:00,2020-08-17 15:48:00,
80,30863,Internal medicine,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 15:04:00,,
81,31218,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,3,0,2020-07-16 15:28:00,2020-07-16 16:41:00,
82,31218,General practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,4,0,2020-08-17 15:05:00,2020-08-17 19:15:00,
84,31473,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 16:45:00,,
85,31473,General practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,0,0,2020-08-17 16:06:00,,
86,32195,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,1,0,2020-07-16 11:48:00,2020-07-16 20:21:00,
87,32195,General practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,1,0,2020-08-17 14:39:00,2020-08-17 20:36:00,
89,33098,Internal medicine,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 15:57:00,,
90,33932,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,2,0,2020-07-16 16:17:00,2020-07-20 11:05:00,
91,33932,General practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,4,0,2020-08-17 15:55:00,2020-08-20 14:36:00,
93,34913,Internal medicine,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 15:35:00,,
94,34913,Internal medicine,region_1,brand_2,general,a3D6f0000019jSnEAI,0,0,2020-08-17 15:27:00,,
96,34928,Internal medicine,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 15:41:00,,
98,36824,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 15:43:00,,
99,36824,General practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,0,0,2020-08-17 15:33:00,,
101,37693,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 15:35:00,,
104,38585,Internal medicine,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 11:50:00,,
105,38585,Internal medicine,region_1,brand_2,general,a3D6f0000019jSnEAI,0,0,2020-08-17 14:39:00,,
106,38661,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 16:15:00,,
107,38661,General practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,0,0,2020-08-17 15:53:00,,
108,38674,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 15:10:00,,
111,40104,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 15:56:00,,
112,40104,General practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,0,0,2020-08-17 15:40:00,,
114,40467,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 15:55:00,,
115,40467,General practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,0,0,2020-08-17 15:40:00,,
120,41231,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 15:29:00,,
122,41578,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 15:41:00,,
123,41578,General practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,0,0,2020-08-17 15:31:00,,
125,42188,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 12:01:00,,
126,42188,General practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,0,0,2020-08-17 14:48:00,,
128,42252,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,3,0,2020-07-16 12:06:00,2020-07-18 10:07:00,
129,42252,General practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,1,0,2020-08-17 14:51:00,2020-08-17 16:53:00,
131,42259,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 15:12:00,,
132,42259,General practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,0,0,2020-08-17 14:58:00,,
133,42893,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,1,0,2020-07-16 16:21:00,2020-07-21 10:45:00,
134,42893,General practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,0,0,2020-08-17 15:57:00,,
135,43694,Internal medicine,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 16:41:00,,
137,43774,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 15:16:00,,
138,43774,General practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,0,0,2020-08-17 15:00:00,,
139,44242,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 16:00:00,,
140,44242,General practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,0,0,2020-08-17 15:42:00,,
143,44619,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 15:58:00,,
144,44619,General practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,2,0,2020-08-17 15:41:00,2020-08-23 16:32:00,
145,45149,Internal medicine,region_1,brand_2,product_related,a3D6f0000019gA2EAI,4,0,2020-07-16 15:39:00,2020-08-06 12:02:00,
146,45890,Internal medicine,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 15:24:00,,
147,45890,Internal medicine,region_1,brand_2,general,a3D6f0000019jSnEAI,0,0,2020-08-17 15:05:00,,
148,46469,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 12:02:00,,
149,46469,General practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,1,0,2020-08-17 14:49:00,2020-08-17 18:28:00,
151,46766,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 15:33:00,,
153,47555,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 15:22:00,,
154,47555,General practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,0,0,2020-08-17 15:04:00,,
155,47821,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,2,0,2020-07-16 15:20:00,2020-07-16 15:37:00,
156,47821,General practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,2,0,2020-08-17 15:02:00,2020-08-31 18:16:00,
157,48528,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 16:11:00,,
158,48528,General practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,0,0,2020-08-17 15:50:00,,
159,48653,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 15:06:00,,
160,49462,Internal medicine,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 15:51:00,,
161,50870,Internal medicine,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 15:46:00,,
162,50870,Internal medicine,region_1,brand_2,general,a3D6f0000019jSnEAI,0,0,2020-08-17 15:36:00,,
165,51850,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,2,0,2020-07-16 11:54:00,2020-07-16 16:31:00,
166,51850,General practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,3,0,2020-08-17 14:43:00,2020-08-18 12:12:00,
168,52198,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 15:49:00,,
169,52198,General practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,2,2,2020-08-17 15:38:00,2020-08-17 19:07:00,2020-08-17 19:08:00
171,54649,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,1,0,2020-07-16 12:07:00,2021-01-07 11:30:00,
172,54649,General practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,1,0,2020-08-17 14:51:00,2021-01-07 11:30:00,
174,54695,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 15:09:00,,
175,54695,General practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,0,0,2020-08-17 14:56:00,,
176,54950,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 16:41:00,,
177,54950,General practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,4,0,2020-08-17 16:05:00,2020-08-17 19:37:00,
178,55802,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 12:04:00,,
180,57358,Internal medicine,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 11:46:00,,
181,57358,Internal medicine,region_1,brand_2,general,a3D6f0000019jSnEAI,0,0,2020-08-17 14:38:00,,
182,57617,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 15:45:00,,
183,57617,General practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,1,1,2020-08-17 15:35:00,2020-08-18 10:14:00,2020-08-18 10:14:00
187,57635,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 15:52:00,,
189,58025,Internal medicine,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 15:37:00,,
190,58025,Internal medicine,region_1,brand_2,general,a3D6f0000019jSnEAI,0,0,2020-08-17 15:28:00,,
191,58092,Internal medicine,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 16:11:00,,
192,58092,Internal medicine,region_1,brand_2,general,a3D6f0000019jSnEAI,0,0,2020-08-17 15:51:00,,
193,58368,Internal medicine,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 16:19:00,,
194,58368,Internal medicine,region_1,brand_2,general,a3D6f0000019jSnEAI,0,0,2020-08-17 15:56:00,,
198,58647,Internal medicine / pneumology,region_1,brand_2,general,a3D6f0000019jSnEAI,0,0,2020-08-17 15:06:00,,
200,59151,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,1,0,2020-07-16 15:06:00,2020-07-16 15:07:00,
201,59151,General practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,0,0,2020-08-17 14:54:00,,
205,60096,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 15:31:00,,
207,61738,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 11:53:00,,
209,61877,Internal medicine,region_1,brand_2,product_related,a3D6f0000019gA2EAI,1,0,2020-07-16 15:42:00,2020-07-16 19:07:00,
210,61877,Internal medicine,region_1,brand_2,general,a3D6f0000019jSnEAI,1,0,2020-08-17 15:32:00,2020-08-17 22:06:00,
211,62263,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 15:49:00,,
212,62263,General practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,0,0,2020-08-17 15:37:00,,
216,62298,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 15:45:00,,
217,62298,General practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,0,0,2020-08-17 15:35:00,,
220,62755,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 11:55:00,,
221,62755,General practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,1,0,2020-08-17 14:44:00,2020-08-22 17:40:00,
224,63409,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,4,0,2020-07-16 15:23:00,2020-07-20 11:15:00,
226,64270,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 15:55:00,,
227,64270,General practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,0,0,2020-08-17 17:52:00,,
230,64807,Internal medicine / pneumology,region_1,brand_2,general,a3D6f0000019jSnEAI,0,0,2020-08-17 14:41:00,,
231,64826,Internal medicine,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 16:37:00,,
232,64948,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,1,0,2020-07-16 16:24:00,2020-07-16 22:10:00,
234,65620,Internal medicine,region_1,brand_2,product_related,a3D6f0000019gA2EAI,1,0,2020-07-16 15:19:00,2020-07-16 17:58:00,
237,66318,Internal medicine,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 15:39:00,,
239,66711,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 16:31:00,,
240,66711,General practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,0,0,2020-08-17 16:01:00,,
242,66724,General practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,4,0,2020-08-17 15:54:00,2020-09-13 09:51:00,
243,68247,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 15:33:00,,
246,68970,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 16:26:00,,
247,68970,General practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,0,0,2020-08-17 16:00:00,,
249,69753,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 15:08:00,,
251,70239,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 11:57:00,,
252,70239,General practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,0,0,2020-08-17 14:46:00,,
256,70593,Internal medicine,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 15:05:00,,
257,70593,Internal medicine,region_1,brand_2,general,a3D6f0000019jSnEAI,0,0,2020-08-17 14:54:00,,
259,70766,Internal medicine / pneumology,region_1,brand_2,product_related,a3D6f0000019gA2EAI,4,0,2020-07-16 16:10:00,2020-07-20 15:17:00,
260,70766,Internal medicine / pneumology,region_1,brand_2,general,a3D6f0000019jSnEAI,0,0,2020-08-17 15:50:00,,
262,70793,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,3,0,2020-07-16 15:44:00,2020-07-16 15:44:00,
263,70793,General practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,3,0,2020-08-17 15:34:00,2020-08-17 15:35:00,
264,71521,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 16:42:00,,
265,71521,General practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,0,0,2020-08-17 16:05:00,,
266,73010,General practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,0,0,2020-08-17 14:45:00,,
268,76632,Internal medicine,region_1,brand_2,product_related,a3D6f0000019gA2EAI,3,0,2020-07-16 16:13:00,2020-07-16 16:54:00,
269,76632,Internal medicine,region_1,brand_2,general,a3D6f0000019jSnEAI,0,0,2020-08-17 15:52:00,,
270,76669,General practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,0,0,2020-08-17 14:46:00,,
271,77708,Internal medicine,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 16:20:00,,
273,78153,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 15:15:00,,
274,78153,General practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,0,0,2020-08-17 15:00:00,,
275,78377,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 16:43:00,,
276,78377,General practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,0,0,2020-08-17 16:05:00,,
277,79254,General practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,0,0,2020-08-17 16:01:00,,
278,80050,Internal medicine,region_1,brand_2,product_related,a3D6f0000019gA2EAI,2,1,2020-07-16 15:42:00,2020-07-19 20:20:00,2020-07-19 20:20:00
279,80050,Internal medicine,region_1,brand_2,general,a3D6f0000019jSnEAI,1,0,2020-08-17 15:33:00,2020-08-17 16:12:00,
280,80757,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 15:44:00,,
281,80757,General practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,1,0,2020-08-17 15:34:00,2020-08-17 20:02:00,
283,82545,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,1,0,2020-07-16 16:34:00,2020-07-16 16:43:00,
284,82545,General practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,1,0,2020-08-17 16:03:00,2020-09-01 11:13:00,
285,83612,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 15:54:00,,
287,84243,General practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,0,0,2020-08-17 15:29:00,,
289,85893,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 16:26:00,,
290,85893,General practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,0,0,2020-08-17 15:58:00,,
291,86830,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 15:55:00,,
292,87407,Internal medicine,region_1,brand_2,product_related,a3D6f0000019gA2EAI,1,0,2020-07-16 15:36:00,2020-07-16 18:11:00,
293,87407,Internal medicine,region_1,brand_2,general,a3D6f0000019jSnEAI,4,0,2020-08-17 15:28:00,2020-08-24 20:41:00,
294,87419,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 16:27:00,,
300,13239,General practicioner,region_2,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-20 12:39:00,,
308,16099,General practicioner,region_2,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-20 10:22:00,,
337,22533,General practicioner,region_2,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-20 12:38:00,,
339,22559,General practicioner,region_2,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-20 12:44:00,,
349,26318,Internal medicine,region_2,brand_2,product_related,a3D6f0000019gA2EAI,1,0,2020-07-20 12:54:00,2020-07-20 13:39:00,
353,26390,Internal medicine,region_2,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-20 12:56:00,,
358,27949,Internal medicine,region_2,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-20 13:01:00,,
398,40511,General practicioner,region_2,brand_2,product_related,a3D6f0000019gA2EAI,3,0,2020-07-20 13:20:00,2020-07-20 13:21:00,
400,42385,General practicioner,region_2,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-20 12:40:00,,
413,45124,Internal medicine,region_2,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-20 12:48:00,,
421,48007,Internal medicine,region_2,brand_2,product_related,a3D6f0000019gA2EAI,3,0,2020-07-20 13:27:00,2020-07-20 13:27:00,
422,49748,General practicioner,region_2,brand_2,product_related,a3D6f0000019gA2EAI,1,0,2020-07-20 12:35:00,2020-07-21 07:33:00,
427,55255,General practicioner,region_2,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-20 13:07:00,,
432,56017,Internal medicine / pneumology,region_2,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-08 13:28:00,,
440,56576,General practicioner,region_2,brand_2,product_related,a3D6f0000019gA2EAI,1,0,2020-07-20 12:57:00,2020-07-21 16:33:00,
448,57979,Internal medicine / pneumology,region_2,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-08 13:26:00,,
453,58617,General practicioner,region_2,brand_2,product_related,a3D6f0000019gA2EAI,3,0,2020-07-20 10:04:00,2020-07-20 14:46:00,
459,59410,Internal medicine,region_2,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-20 13:09:00,,
472,64243,Internal medicine,region_2,brand_2,product_related,a3D6f0000019gA2EAI,1,0,2020-07-20 10:15:00,2020-07-20 21:20:00,
501,77336,Internal medicine,region_2,brand_2,product_related,a3D6f0000019gA2EAI,5,0,2020-07-08 14:31:00,2020-07-26 10:55:00,
508,79899,General practicioner,region_2,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-20 13:40:00,,
513,85005,Internal medicine,region_2,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-08 14:32:00,,
548,19655,General practicioner,region_3,brand_2,product_related,a3D6f0000019fLWEAY,0,0,2020-07-02 17:28:00,,
561,24263,General practicioner,region_3,brand_2,product_related,a3D6f0000019fLWEAY,0,0,2020-07-02 22:46:00,,
590,37991,Internal medicine / pneumology,region_3,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-13 10:18:00,,
594,38987,Internal medicine,region_3,brand_2,product_related,a3D6f0000019fLWEAY,1,0,2020-07-02 22:54:00,2020-07-03 08:44:00,
695,63976,General practicioner,region_4,brand_2,product_related,a3D6f0000019gA2EAI,2,0,2020-08-11 11:54:00,2020-08-16 23:01:00,
696,4346,General practicioner,region_5,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-10 07:34:00,,
697,8207,Internal medicine,region_5,brand_2,product_related,a3D6f0000019gA2EAI,12,0,2020-07-10 11:25:00,2020-10-29 08:14:00,
700,12658,General practicioner,region_5,brand_2,product_related,a3D6f0000019gA2EAI,3,0,2020-07-10 07:32:00,2020-07-10 14:04:00,
