hcp,specialty,region,brand,month,channel,count
37910,General practicioner,region_3,brand_2,2020-07,f2f,1
37991,Internal medicine / pneumology,region_3,brand_2,2020-07,f2f,2
37991,Internal medicine / pneumology,region_3,brand_2,2020-07,video,1
41509,Internal medicine / pneumology,region_3,brand_2,2020-07,video,1
55696,Internal medicine,region_3,brand_2,2020-07,f2f,1
55941,Internal medicine / pneumology,region_3,brand_2,2020-07,f2f,1
57327,General practicioner,region_3,brand_2,2020-07,f2f,1
58179,General practicioner,region_3,brand_2,2020-07,f2f,1
59516,Internal medicine / pneumology,region_3,brand_2,2020-07,video,1
61806,General practicioner,region_3,brand_2,2020-07,f2f,1
63846,General practicioner,region_3,brand_2,2020-07,f2f,1
66769,General practicioner,region_3,brand_2,2020-07,f2f,1
81881,Internal medicine / pneumology,region_3,brand_2,2020-07,f2f,1
84282,General practicioner,region_3,brand_2,2020-07,f2f,1
86759,General practicioner,region_3,brand_2,2020-07,f2f,1
9899,General practicioner,region_4,brand_2,2020-07,f2f,1
9900,General practicioner,region_4,brand_2,2020-07,f2f,1
12617,General practicioner,region_4,brand_2,2020-07,phone,1
16820,Internal medicine / pneumology,region_4,brand_2,2020-07,f2f,1
30249,General practicioner,region_4,brand_2,2020-07,phone,1
45757,Internal medicine / pneumology,region_4,brand_2,2020-07,f2f,1
54435,General practicioner,region_4,brand_2,2020-07,phone,1
56235,General practicioner,region_4,brand_2,2020-07,f2f,1
56235,General practicioner,region_4,brand_2,2020-07,phone,1
57531,General practicioner,region_4,brand_2,2020-07,f2f,1
57531,General practicioner,region_4,brand_2,2020-07,phone,1
58983,Internal medicine,region_4,brand_2,2020-07,f2f,1
60303,General practicioner,region_4,brand_2,2020-07,video,1
64716,General practicioner,region_4,brand_2,2020-07,phone,2
70654,General practicioner,region_4,brand_2,2020-07,phone,1
80799,General practicioner,region_4,brand_2,2020-07,f2f,1
4066,Internal medicine,region_5,brand_2,2020-07,f2f,1
12657,General practicioner,region_5,brand_2,2020-07,f2f,1
17915,General practicioner,region_5,brand_2,2020-07,f2f,1
18665,General practicioner,region_5,brand_2,2020-07,f2f,1
22307,General practicioner,region_5,brand_2,2020-07,f2f,1
22652,Internal medicine / pneumology,region_5,brand_2,2020-07,f2f,2
25478,Internal medicine / pneumology,region_5,brand_2,2020-07,phone,1
28254,General practicioner,region_5,brand_2,2020-07,f2f,1
31108,General practicioner,region_5,brand_2,2020-07,f2f,1
36656,General practicioner,region_5,brand_2,2020-07,f2f,1
38659,General practicioner,region_5,brand_2,2020-07,phone,1
55409,Internal medicine,region_5,brand_2,2020-07,f2f,1
59638,General practicioner,region_5,brand_2,2020-07,f2f,1
59860,General practicioner,region_5,brand_2,2020-07,f2f,1
63993,Internal medicine / pneumology,region_5,brand_2,2020-07,f2f,2
65070,General practicioner,region_5,brand_2,2020-07,f2f,1
65635,General practicioner,region_5,brand_2,2020-07,f2f,1
69750,Internal medicine,region_5,brand_2,2020-07,f2f,1
74781,General practicioner,region_5,brand_2,2020-07,f2f,2
11678,Internal medicine,region_6,brand_2,2020-07,f2f,1
18716,Internal medicine,region_6,brand_2,2020-07,f2f,1
19514,Internal medicine,region_6,brand_2,2020-07,f2f,1
19930,Internal medicine / pneumology,region_6,brand_2,2020-07,f2f,1
22351,General practicioner,region_6,brand_2,2020-07,f2f,1
22351,General practicioner,region_6,brand_2,2020-07,phone,1
22620,General practicioner,region_6,brand_2,2020-07,f2f,1
28804,General practicioner,region_6,brand_2,2020-07,f2f,1
29639,General practicioner,region_6,brand_2,2020-07,f2f,1
29639,General practicioner,region_6,brand_2,2020-07,phone,1
32468,General practicioner,region_6,brand_2,2020-07,f2f,1
33892,General practicioner,region_6,brand_2,2020-07,f2f,1
36456,General practicioner,region_6,brand_2,2020-07,f2f,1
42459,General practicioner,region_6,brand_2,2020-07,f2f,1
45651,General practicioner,region_6,brand_2,2020-07,f2f,1
47460,Internal medicine,region_6,brand_2,2020-07,f2f,1
47463,General practicioner,region_6,brand_2,2020-07,phone,1
47838,General practicioner,region_6,brand_2,2020-07,f2f,1
48216,General practicioner,region_6,brand_2,2020-07,f2f,1
49127,General practicioner,region_6,brand_2,2020-07,f2f,1
49231,General practicioner,region_6,brand_2,2020-07,phone,1
49260,General practicioner,region_6,brand_2,2020-07,f2f,1
49265,General practicioner,region_6,brand_2,2020-07,f2f,1
49274,General practicioner,region_6,brand_2,2020-07,f2f,1
49297,General practicioner,region_6,brand_2,2020-07,phone,1
49301,Internal medicine,region_6,brand_2,2020-07,phone,1
49705,General practicioner,region_6,brand_2,2020-07,f2f,1
49705,General practicioner,region_6,brand_2,2020-07,phone,1
50029,General practicioner,region_6,brand_2,2020-07,f2f,1
50075,General practicioner,region_6,brand_2,2020-07,f2f,1
50285,General practicioner,region_6,brand_2,2020-07,f2f,1
52946,General practicioner,region_6,brand_2,2020-07,f2f,1
54108,Internal medicine / pneumology,region_6,brand_2,2020-07,f2f,2
79910,Internal medicine,region_6,brand_2,2020-07,f2f,1
83379,General practicioner,region_6,brand_2,2020-07,f2f,1
86195,General practicioner,region_6,brand_2,2020-07,f2f,1
4717,General practicioner,region_7,brand_2,2020-07,phone,1
15301,General practicioner,region_7,brand_2,2020-07,f2f,1
15352,General practicioner,region_7,brand_2,2020-07,phone,1
15582,Internal medicine / pneumology,region_7,brand_2,2020-07,phone,1
15954,Internal medicine,region_7,brand_2,2020-07,phone,1
19577,General practicioner,region_7,brand_2,2020-07,f2f,1
20525,Internal medicine,region_7,brand_2,2020-07,phone,1
20567,Internal medicine,region_7,brand_2,2020-07,phone,1
20824,Internal medicine,region_7,brand_2,2020-07,phone,1
21274,General practicioner,region_7,brand_2,2020-07,f2f,1
22244,Internal medicine,region_7,brand_2,2020-07,phone,1
25134,General practicioner,region_7,brand_2,2020-07,f2f,1
25581,Internal medicine,region_7,brand_2,2020-07,f2f,1
27249,Internal medicine / pneumology,region_7,brand_2,2020-07,phone,1
28767,General practicioner,region_7,brand_2,2020-07,f2f,1
28820,General practicioner,region_7,brand_2,2020-07,f2f,1
28820,General practicioner,region_7,brand_2,2020-07,phone,1
29227,Internal medicine / pneumology,region_7,brand_2,2020-07,f2f,1
30187,General practicioner,region_7,brand_2,2020-07,f2f,1
30194,General practicioner,region_7,brand_2,2020-07,phone,1
30473,Internal medicine / pneumology,region_7,brand_2,2020-07,phone,1
30597,General practicioner,region_7,brand_2,2020-07,f2f,1
31476,General practicioner,region_7,brand_2,2020-07,phone,1
32055,General practicioner,region_7,brand_2,2020-07,f2f,1
33381,Internal medicine,region_7,brand_2,2020-07,phone,1
35307,General practicioner,region_7,brand_2,2020-07,f2f,1
36466,General practicioner,region_7,brand_2,2020-07,f2f,1
36772,Internal medicine / pneumology,region_7,brand_2,2020-07,f2f,1
36772,Internal medicine / pneumology,region_7,brand_2,2020-07,phone,1
37603,Internal medicine,region_7,brand_2,2020-07,phone,1
38224,General practicioner,region_7,brand_2,2020-07,f2f,1
38225,Internal medicine,region_7,brand_2,2020-07,f2f,1
39246,General practicioner,region_7,brand_2,2020-07,f2f,1
40195,General practicioner,region_7,brand_2,2020-07,f2f,1
40673,General practicioner,region_7,brand_2,2020-07,f2f,1
40873,General practicioner,region_7,brand_2,2020-07,phone,1
42011,Internal medicine / pneumology,region_7,brand_2,2020-07,f2f,1
43292,General practicioner,region_7,brand_2,2020-07,f2f,1
44669,General practicioner,region_7,brand_2,2020-07,f2f,1
48355,General practicioner,region_7,brand_2,2020-07,f2f,1
48376,General practicioner,region_7,brand_2,2020-07,phone,1
48596,Internal medicine,region_7,brand_2,2020-07,f2f,1
48865,General practicioner,region_7,brand_2,2020-07,f2f,1
49118,Internal medicine,region_7,brand_2,2020-07,phone,1
49221,General practicioner,region_7,brand_2,2020-07,f2f,1
49229,General practicioner,region_7,brand_2,2020-07,f2f,1
49288,General practicioner,region_7,brand_2,2020-07,phone,1
50302,Internal medicine,region_7,brand_2,2020-07,f2f,1
50302,Internal medicine,region_7,brand_2,2020-07,phone,1
52722,General practicioner,region_7,brand_2,2020-07,f2f,1
52764,General practicioner,region_7,brand_2,2020-07,f2f,1
52764,General practicioner,region_7,brand_2,2020-07,phone,1
52950,General practicioner,region_7,brand_2,2020-07,f2f,1
53108,General practicioner,region_7,brand_2,2020-07,f2f,1
53389,Internal medicine,region_7,brand_2,2020-07,phone,1
53931,General practicioner,region_7,brand_2,2020-07,f2f,1
54192,Internal medicine / pneumology,region_7,brand_2,2020-07,f2f,1
56264,Internal medicine / pneumology,region_7,brand_2,2020-07,f2f,2
58659,Internal medicine / pneumology,region_7,brand_2,2020-07,f2f,2
59060,Internal medicine / pneumology,region_7,brand_2,2020-07,f2f,1
59122,Internal medicine / pneumology,region_7,brand_2,2020-07,f2f,1
60534,Internal medicine,region_7,brand_2,2020-07,f2f,1
60772,General practicioner,region_7,brand_2,2020-07,f2f,1
69458,Internal medicine,region_7,brand_2,2020-07,f2f,3
70059,Internal medicine / pneumology,region_7,brand_2,2020-07,f2f,1
70228,General practicioner,region_7,brand_2,2020-07,phone,1
70406,Internal medicine / pneumology,region_7,brand_2,2020-07,f2f,2
73094,General practicioner,region_7,brand_2,2020-07,f2f,1
74437,Internal medicine / pneumology,region_7,brand_2,2020-07,f2f,1
74722,Internal medicine,region_7,brand_2,2020-07,f2f,1
75056,General practicioner,region_7,brand_2,2020-07,f2f,1
75276,Internal medicine,region_7,brand_2,2020-07,phone,1
75431,General practicioner,region_7,brand_2,2020-07,f2f,1
77419,General practicioner,region_7,brand_2,2020-07,f2f,1
77910,Internal medicine / pneumology,region_7,brand_2,2020-07,f2f,1
78125,General practicioner,region_7,brand_2,2020-07,f2f,1
78156,Internal medicine,region_7,brand_2,2020-07,f2f,1
78230,Internal medicine / pneumology,region_7,brand_2,2020-07,f2f,1
79861,General practicioner,region_7,brand_2,2020-07,f2f,1
79861,General practicioner,region_7,brand_2,2020-07,phone,1
81029,Internal medicine,region_7,brand_2,2020-07,phone,1
81034,Internal medicine / pneumology,region_7,brand_2,2020-07,f2f,3
82600,Internal medicine,region_7,brand_2,2020-07,phone,1
83313,General practicioner,region_7,brand_2,2020-07,phone,1
85541,Internal medicine,region_7,brand_2,2020-07,phone,1
85566,Internal medicine / pneumology,region_7,brand_2,2020-07,f2f,1
85872,Internal medicine,region_7,brand_2,2020-07,phone,1
86322,Internal medicine,region_7,brand_2,2020-07,phone,1
86326,Pediatrician,region_7,brand_2,2020-07,f2f,2
86329,Pediatrician,region_7,brand_2,2020-07,f2f,1
86333,Pediatrician,region_7,brand_2,2020-07,f2f,1
86334,Internal medicine / pneumology,region_7,brand_2,2020-07,f2f,1
86335,General practicioner,region_7,brand_2,2020-07,f2f,1
86335,General practicioner,region_7,brand_2,2020-07,phone,1
86343,Internal medicine,region_7,brand_2,2020-07,f2f,1
13389,Internal medicine / pneumology,region_8,brand_2,2020-07,f2f,1
14873,Internal medicine / pneumology,region_8,brand_2,2020-07,f2f,1
18748,General practicioner,region_8,brand_2,2020-07,f2f,1
27336,General practicioner,region_8,brand_2,2020-07,f2f,1
28036,Internal medicine / pneumology,region_8,brand_2,2020-07,f2f,3
31913,Internal medicine,region_8,brand_2,2020-07,f2f,1
35831,Internal medicine / pneumology,region_8,brand_2,2020-07,f2f,1
39447,Internal medicine,region_8,brand_2,2020-07,f2f,1
43254,Internal medicine,region_8,brand_2,2020-07,f2f,1
55341,Internal medicine,region_8,brand_2,2020-07,f2f,1
58458,General practicioner,region_8,brand_2,2020-07,f2f,1
60885,General practicioner,region_8,brand_2,2020-07,f2f,1
65411,General practicioner,region_8,brand_2,2020-07,f2f,1
69877,Internal medicine / pneumology,region_8,brand_2,2020-07,f2f,1
70812,General practicioner,region_8,brand_2,2020-07,f2f,1
73382,Internal medicine / pneumology,region_8,brand_2,2020-07,f2f,2
74215,General practicioner,region_8,brand_2,2020-07,f2f,1
84437,General practicioner,region_8,brand_2,2020-07,f2f,1
86307,Internal medicine,region_8,brand_2,2020-07,f2f,1
1521,Pediatrician,region_9,brand_2,2020-07,f2f,1
3193,Internal medicine,region_9,brand_2,2020-07,f2f,1
8104,Internal medicine / pneumology,region_9,brand_2,2020-07,f2f,3
8121,General practicioner,region_9,brand_2,2020-07,phone,1
11611,Internal medicine,region_9,brand_2,2020-07,f2f,1
12771,General practicioner,region_9,brand_2,2020-07,f2f,2
16306,General practicioner,region_9,brand_2,2020-07,phone,1
19610,Internal medicine,region_9,brand_2,2020-07,f2f,1
23197,General practicioner,region_9,brand_2,2020-07,f2f,1
24490,Internal medicine / pneumology,region_9,brand_2,2020-07,f2f,1
26110,General practicioner,region_9,brand_2,2020-07,phone,1
28718,General practicioner,region_9,brand_2,2020-07,phone,1
31976,General practicioner,region_9,brand_2,2020-07,phone,1
32589,Internal medicine,region_9,brand_2,2020-07,f2f,1
35320,General practicioner,region_9,brand_2,2020-07,f2f,1
36414,Internal medicine,region_9,brand_2,2020-07,phone,1
36980,General practicioner,region_9,brand_2,2020-07,f2f,1
37820,General practicioner,region_9,brand_2,2020-07,f2f,1
39220,Internal medicine,region_9,brand_2,2020-07,f2f,1
41486,Internal medicine / pneumology,region_9,brand_2,2020-07,f2f,2
41757,Internal medicine / pneumology,region_9,brand_2,2020-07,f2f,2
42872,Internal medicine,region_9,brand_2,2020-07,phone,1
43677,Internal medicine / pneumology,region_9,brand_2,2020-07,f2f,1
44102,Internal medicine / pneumology,region_9,brand_2,2020-07,f2f,2
45400,Internal medicine / pneumology,region_9,brand_2,2020-07,f2f,1
45584,General practicioner,region_9,brand_2,2020-07,phone,1
46124,General practicioner,region_9,brand_2,2020-07,f2f,1
48303,General practicioner,region_9,brand_2,2020-07,f2f,1
48454,Internal medicine,region_9,brand_2,2020-07,phone,1
49273,General practicioner,region_9,brand_2,2020-07,f2f,1
50231,Internal medicine,region_9,brand_2,2020-07,f2f,1
50981,General practicioner,region_9,brand_2,2020-07,f2f,1
50990,Internal medicine / pneumology,region_9,brand_2,2020-07,f2f,2
52749,Internal medicine / pneumology,region_9,brand_2,2020-07,f2f,1
53452,General practicioner,region_9,brand_2,2020-07,f2f,1
54398,General practicioner,region_9,brand_2,2020-07,f2f,1
69360,General practicioner,region_9,brand_2,2020-07,f2f,1
69873,General practicioner,region_9,brand_2,2020-07,f2f,1
70282,Internal medicine,region_9,brand_2,2020-07,phone,1
70424,General practicioner,region_9,brand_2,2020-07,f2f,1
74684,Internal medicine,region_9,brand_2,2020-07,f2f,1
74721,Internal medicine,region_9,brand_2,2020-07,f2f,1
75107,General practicioner,region_9,brand_2,2020-07,phone,1
75520,Internal medicine,region_9,brand_2,2020-07,f2f,1
78193,Internal medicine,region_9,brand_2,2020-07,phone,1
85079,General practicioner,region_9,brand_2,2020-07,f2f,1
86319,Pediatrician,region_9,brand_2,2020-07,f2f,1
86320,Pediatrician,region_9,brand_2,2020-07,f2f,1
28084,Internal medicine,region_10,brand_2,2020-07,f2f,1
35039,General practicioner,region_10,brand_2,2020-07,f2f,1
40519,General practicioner,region_10,brand_2,2020-07,f2f,1
49635,Internal medicine,region_10,brand_2,2020-07,f2f,1
73305,General practicioner,region_10,brand_2,2020-07,f2f,1
79999,Internal medicine / pneumology,region_10,brand_2,2020-07,f2f,1
83494,General practicioner,region_10,brand_2,2020-07,f2f,1
12854,Internal medicine,region_11,brand_2,2020-07,f2f,2
35001,Internal medicine / pneumology,region_11,brand_2,2020-07,f2f,1
38679,Internal medicine,region_11,brand_2,2020-07,f2f,1
41695,General practicioner,region_11,brand_2,2020-07,f2f,1
44834,General practicioner,region_11,brand_2,2020-07,f2f,1
61055,General practicioner,region_11,brand_2,2020-07,f2f,1
80933,General practicioner,region_11,brand_2,2020-07,f2f,1
10981,General practicioner,region_12,brand_2,2020-07,f2f,1
23508,General practicioner,region_12,brand_2,2020-07,f2f,1
27846,Internal medicine / pneumology,region_12,brand_2,2020-07,f2f,1
37711,General practicioner,region_12,brand_2,2020-07,f2f,1
42337,General practicioner,region_12,brand_2,2020-07,f2f,1
45393,Internal medicine / pneumology,region_12,brand_2,2020-07,f2f,1
52960,Internal medicine,region_12,brand_2,2020-07,f2f,1
54813,General practicioner,region_12,brand_2,2020-07,f2f,1
55861,Internal medicine / pneumology,region_12,brand_2,2020-07,f2f,2
57173,General practicioner,region_12,brand_2,2020-07,f2f,1
58413,Internal medicine / pneumology,region_12,brand_2,2020-07,f2f,1
62860,General practicioner,region_12,brand_2,2020-07,f2f,1
63972,General practicioner,region_12,brand_2,2020-07,f2f,1
65665,General practicioner,region_12,brand_2,2020-07,f2f,1
66097,General practicioner,region_12,brand_2,2020-07,f2f,1
66139,General practicioner,region_12,brand_2,2020-07,f2f,1
66279,General practicioner,region_12,brand_2,2020-07,f2f,1
66984,General practicioner,region_12,brand_2,2020-07,f2f,1
67661,General practicioner,region_12,brand_2,2020-07,f2f,1
67947,General practicioner,region_12,brand_2,2020-07,f2f,1
69925,Internal medicine / pneumology,region_12,brand_2,2020-07,f2f,2
69925,Internal medicine / pneumology,region_12,brand_2,2020-07,phone,3
71749,General practicioner,region_12,brand_2,2020-07,f2f,1
71936,General practicioner,region_12,brand_2,2020-07,f2f,1
83436,Internal medicine,region_12,brand_2,2020-07,f2f,1
13191,General practicioner,region_13,brand_2,2020-07,f2f,1
16177,Internal medicine,region_13,brand_2,2020-07,f2f,1
18916,General practicioner,region_13,brand_2,2020-07,f2f,1
23237,Internal medicine / pneumology,region_13,brand_2,2020-07,f2f,2
27966,Internal medicine,region_13,brand_2,2020-07,f2f,1
28907,General practicioner,region_13,brand_2,2020-07,f2f,1
29848,General practicioner,region_13,brand_2,2020-07,phone,1
30638,Internal medicine / pneumology,region_13,brand_2,2020-07,f2f,2
31696,General practicioner,region_13,brand_2,2020-07,phone,1
31771,General practicioner,region_13,brand_2,2020-07,f2f,1
36702,General practicioner,region_13,brand_2,2020-07,f2f,1
38754,General practicioner,region_13,brand_2,2020-07,f2f,1
39393,General practicioner,region_13,brand_2,2020-07,f2f,1
40769,General practicioner,region_13,brand_2,2020-07,f2f,1
42956,General practicioner,region_13,brand_2,2020-07,f2f,1
43666,General practicioner,region_13,brand_2,2020-07,f2f,1
45705,General practicioner,region_13,brand_2,2020-07,f2f,1
47587,General practicioner,region_13,brand_2,2020-07,f2f,1
47761,General practicioner,region_13,brand_2,2020-07,f2f,1
48983,Internal medicine / pneumology,region_13,brand_2,2020-07,f2f,1
49513,General practicioner,region_13,brand_2,2020-07,f2f,1
